SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOVT. BOYS H/S DALOWALI. ,DALOWALI,66040201,-,715,629,1344,2,1,3
2,GOVT.BOYS H/S DALOWALI,DALOWALI,66040202,-,307,312,619,2,1,3
,,DALOWALI,66040204,-,471,351,822,,,
3,GOVT.GIRLS M/SCHOOL DALOWALI,DALOWALI,66040203,-,440,369,809,2,2,4
,,SAHALIA.,66040206,-,330,286,616,,,
,,KOT BAGHRIAN.,66040207,-,99,78,177,,,
4,GOVT. BOYS P/S HEER,MALHOPER,66040205,-,369,254,623,2,2,4
,,HEER,66040210,-,509,476,985,,,
,,CHHANI ATAL GHAR,66040211,-,96,66,162,,,
,,CHAK HAZAREE.,66040212,-,14,15,29,,,
5,GOVT. GIRLS P/S PATASAR.(MALE),CHAK BEHRAM.,66040208,-,270,,270,2,2,4
,,TARO KANA.,66040209,-,155,,155,,,
,,PATASAR.,66040213,-,310,,310,,,
,,DO,66040214,-,377,,377,,,
6,GOVT. BOYS P/S PATASAR.(FEMALE),CHAK BEHRAM,66040208,-,,225,225,,2,2
,,TARO KANA.,66040209,-,,126,126,,,
,,PATASAR.,66040213,-,,248,248,,,
,,DO,66040214,-,,331,331,,,
7,GOVT. BOYS P/S TALWARA MUGHLAN (MALE),TALWARA MUGHLAN.,66031008,-,1047,,1047,2,,2
8,GOVT. GIRLS E/S TALWARA MUGHLAN (FEMALE),TALWARA MUGHLAN.,66031008,-,,861,861,,2,2
9,GOVT. BOYS P/S TALWARA MUGHLAN (MALE),TALWARA MUGHLAN.,66031007,-,946,,946,2,,2
10,OFFICE OF U-C TALWARA MUGHLAN.(FEMALE),TALWARA MUGHLAN.,66031007,-,,826,826,,2,2
11,GOVT. GIRLS P/S KISHNIWALI.,KISHNIWALI,66031006,-,636,400,1036,1,1,2
12,GOVT. GIRLS P/S KISHNIWALI.,UGGO WALI,66031003,-,862,600,1462,2,1,3
13,GOVT. P/S JODHAY,JODHAY WALI.,66031401,-,902,733,1635,2,2,4
14,BASIC HEALTH UNIT JODHAY ,JODHAY WALI.,66031402,-,953,,953,2,,2
15,BASIC HEALTH UNIT JODHAY ,JODHAY WALI,66031402,-,,790,790,,2,2
16,GOVT. GIRLS P/S NAZAM PUR GALIAN (MALE),NIZAM PUR GALLIAN.,66031405,-,1051,,1051,2,,2
17,GOVT. GIRLS P/S NAZAM PUR GALIAN (FEMALE),NIZAM PUR GALLIAN.,66031405,-,,896,896,,2,2
18,MASJID MAKTAB SCHOOL PINDI ,PINDI ARAIAN,66031403,-,1345,,1345,2,,2
19,OFFICE UC NO. 19 PINDI ARIAN ,PINDI ARAIAN,66031403,-,,1043,1043,,2,2
20,GOVT. GIRLS P/S PINDI ARAIAN (MALE),PINDI ARAIAN,66031404,-,441,,441,2,,2
,,PUR NAIKA.,66031406,-,557,,557,,,
,,DO,66031407,-,166,,166,,,
21,GOVT. GIRLS P/S PINDI ARAIAN. (FEMALE),PINDI ARAIAN,66031404,-,,327,327,,2,2
,,PUR NAIKA.,66031406,-,,430,430,,,
,,DO,66031407,-,,118,118,,,
22,GOVT. GIRLS P/S GHAZI PUR.,GHAZI PUR.,66031001,-,859,672,1531,2,2,4
23,GOVT. GIRLS P/S KAKEY WALI (MALE),KAKAY WALI.,66031002,-,984,,984,3,,3
,,RAKHANA.,66031004,-,271,,271,,,
,,ALO CHAKI.,66031005,-,308,,308,,,
24,GOVT. GIRLS P/S KAKAY WALI (FEMALE),KAKAY WALI.,66031002,-,,793,793,,2,2
,,RAKHANA.,66031004,-,,189,189,,,
,,ALO CHAKI.,66031005,-,,220,220,,,
25,GOVT. FEDRAL BOYS MIDDLE SCHOOL CANTT. SIALKOT. (EAST),SADDAR BAZAR,68010101,-,,,,1,1,2
,,SIND RAGMENT,68010102,-,,,,,,
,,SHAHEEN ABAD,68010103,-,,,,,,
,,TARIQ ROAD BABAR ROAD,68010104,-,499,497,996,,,
,,AGHA KAMAL HAIDER ROAD.,68010105,-,149,131,280,,,
26,GOVT.FEDRAL BOYS MIDDLE SCHOOL CANTT. SIALKOT.,FAZAL QADIR,68020301,-,90,,90,2,,2
,(EAST)(MALE),LINE,68020302,-,25,,25,,,
,,NASIM LINE,68020303,-,72,,72,,,
,,CLUB ROAD,68020304,-,262,,262,,,
,,HAIDER ROAD.,68020305,-,457,,457,,,
27,GOVT.FEDRAL BOYS MIDDLE SCHOOL CANTT. SIALKOT.,FAZAL QADIR,68020301,-,,111,111,,2,2
,(EAST)(FEMALE),LINE,68020302,-,,35,35,,,
,,NASIM LINE,68020303,-,,68,68,,,
,,CLUB ROAD,68020304,-,,315,315,,,
,,HAIDER ROAD.,68020305,-,,492,492,,,
28,JINNAH EFFICIENCY H/S SIALKOT CANTT.(EAST),TANK GERNEY ROAD,68010201,-,234,248,482,2,1,3
,,ISMAILA COLONY,68010204,-,287,270,557,,,
,,MAJEED ROAD,68010205,-,165,167,332,,,
29,ARMY PUBLIC SCHOOL CANTT (WEST) (MALE),REGMANT BAZAR,68020201,-,285,,285,3,,3
,,ZAFAR ALI ROAD,68020202,-,188,,188,,,
,,GHAZI ROAD,68020203,-,211,,211,,,
,,QAID-E-AZAM ROAD,68020204,-,353,,353,,,
,,GHAZI ROAD,68020205,-,452,,452,,,
30,ARMY PUBLIC SCHOOL CANTT. (WEST) (FEMALE),REGMANT BAZAR,68020201,-,,331,331,,3,3
,,ZAFAR ALI ROAD,68020202,-,,185,185,,,
,,GHAZI ROAD,68020203,-,,213,213,,,
,,QAID-E-AZAM ROAD,68020204,-,,362,362,,,
,,GHAZI ROAD,68020205,-,,422,422,,,
31,JINNAH EFFICIENCY H/S SIALKOT CANTT. (NOTH) (MALE),GAWAL MANDI,68010202,-,768,,768,2,,2
,,BABU MOHALLAH.,68010203,-,375,,375,,,
32,JINNAH EFFICIENCY H/S SIALKOT CANTT. (SOUTH),GAWAL MANDI.,68010202,-,,649,649,,2,2
,(FEMALE),BABU MOHALLAH.,68010203,-,,336,336,,,
33,GOVT. GIRLS HIGHER SECONDARY SCHOOL CANTT. (EAST) (MALE),AHATA DAWAN CHAND.,68010301,-,331,,331,2,,2
,,SARAI QADIR BUKSH.,68010302,-,436,,436,,,
,,KABAL ROAD,68010303,-,324,,324,,,
34,GOVT. GIRLS HIGHER SECONDARY SCHOOL CANTT. (WEST) (FEMALE),AHATA DAWAN CHAND,68010301,-,,319,319,,2,2
,,SARAI QADIR BUKSH.,68010302,-,,397,397,,,
,,KABAL ROAD,68010303,-,,368,368,,,
35,GOVT. CHRITIAN H/SS CANTT. (EAST) (MALE),MOH.KASAB PURA.,68010304,-,624,,624,2,,2
,,OFFICER COLONY,68010305,-,297,,297,,,
36,GOVT. CHRITIAN H/SS CANTT. (EAST) (FEMALE),MOH. KASAB PURA.,68010304,-,,633,633,,2,2
,,OFFICER COLONY,68010305,-,,326,326,,,
37,GOVT. CHRISTIAN H/SS CANTT. (WEST),AZIZ SHAHEED ROAD,68010401,-,469,475,944,1,1,2
,,DHOBI LINE,68010402,-,21,20,41,,,
,,PUNJAB REGMENT.,68010403,-,,,,,,
,,RASLA LINE.,68010404,-,30,33,63,,,
,,SADIQ LINE.,68010405,-,,,,,,
,,SIND SALAK,68010406,-,10,11,21,,,
38,GOVT. P/S LALKURTI BAZA CANTT. (EAST),CHENAB REGMENT,68020101,-,50,61,111,1,1,2
,,MILITARY DAIRY,68020102,-,110,94,204,,,
,,FF REGMENT,68020103,-,,,,,,
