SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,BOYS PS CHENAB NAGAR(MALE),T.C CHENAB NAGAR,58020101,-,788,,788,1,,1
,,T.C CHENAB NAGAR,58020103,-,413,,413,,,
2,GIRLS PS T.C CHENAB NAGAR(MALE),T.C CHENAB NAGAR,58020102,-,921,,921,1,,1
3,FAZAL UMAR GIRLS HS CHENAB NAGAR(MALE),T.C CHENAB NAGAR,58020104,-,452,,452,1,0,1
,,T.C CHENAB NAGAR,58020105,-,445,,445,,,
4,GOVT NUSRAT HS T.C CHENAB NAGAR(FEMALE),T.C CHENAB NAGAR,58020101,-,852,,852,0,2,2
,,T.C CHENAB NAGAR,58020103,-,460,,460,,,
5,GOVT. NUSRAT HS CHENAB NAGAR(FEMALE),T.C CHENAB NAGAR,58020102,-,,801,801,,2,2
,,T.C CHENAB NAGAR,58020106,-,,416,416,,,
6,FAZAL UMAR GIRLS HS T.C CHENAB NAGAR(FEMALE),T.C CHENAB NAGAR,58020104,-,,456,456,,2,2
,,T.C CHENAB NAGAR,58020105,-,,379,379,,,
7,TC OFFICE T.C CHENAB NAGAR(MALE),T.C CHENAB NAGAR,58020201,-,722,,722,2,,2
,,T.C CHENAB NAGAR,58020202,-,484,,484,,,
8,TI HS T.C CHENAB NAGAR(FEMALE),T.C CHENAB NAGAR,58020201,-,,608,608,,2,2
,,T.C CHENAB NAGAR,58020202,-,,270,270,,,
9,TI HS T.C CHENAB ,T.C CHENAB ,58020203,-,681,,681,2,,2
,,T.C CHENAB NAGAR,58020204,-,247,,247,,,
,,T.C CHENAB NAGAR,58020205,-,295,,295,,,
10,BOYS PS T.C CHENAB NAGAR(FEMALE),T.C CHENAB NAGAR,58020203,-,,460,460,,2,2
,,T.C CHENAB NAGAR,58020204,-,,225,225,,,
,,T.C CHENAB NAGAR,580200205,-,,323,323,,,
11,BOYS PS DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020301,-,324,300,624,1,1,2
12,GIRLS MS DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020302,-,441,309,750,1,1,2
13,GIRLS PS DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020303,-,629,423,1052,1,1,2
14,WATER TANKEY*MUSLIM COLONY*CHENAB NAGAR,T.C CHENAB NAGAR,58020304,-,570,532,1102,1,1,2
15,WATER TANKEY*MUSLIM COLONY*CHENAB NAGAR,T.C CHENAB NAGAR,58020305,-,1013,683,1696,2,2,4
16,GIRLS PS JAMIA MSJID MUSLIM*CHENAB NAGAR,T.C CHENAB NAGAR,58020306,-,385,354,739,1,1,2
17,TI COLLEGE *CHENAB NAGAR,T.C CHENAB NAGAR,58020401,-,205,177,382,1,1,2
,,T.C CHENAB NAGAR,58020402,-,214,207,421,,,
18,TI COLLEGE*CEHNAB NAGAR,T.C CHENAB NAGAR,58020403,-,711,564,1275,1,1,2
19,TI COLLEGE*CHENAB NAGAR1,T.C CHENAB NAGAR,58020404,-,314,297,611,1,1,2
20,DEGREE COLLEGE*US DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020501,-,779,652,1431,1,1,2
21,DEGREE COLLAGE US DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020502,-,594,601,1195,1,1,2
22,DEGREE COLLAGE*US DARUL YAMAN*TCHENAB NAGAR,T.C CHENAB NAGAR,58020503,-,341,403,744,1,1,2
23,DEGREE COLLAGE*US DARUL YAMAN*CHENAB NAGAR,T.C CHENAB NAGAR,58020504,-,516,741,1257,1,1,2
24,BOYS HS LALIAN,T.C LALLIAN,58030101,-,840,778,1618,1,1,2
25,BOYS HS LALLAN (PRIMARY ,T.C LALLIAN,58030102,-,981,824,1805,1,1,2
26,GIRLS HIGHER SECONDARY ,T.C LALLIAN,58030103,-,670,459,1129,2,1,3
27,VETERINARY HOSPITAL *LALIAN,T.C LALLIAN,58030104,-,778,657,1435,1,1,2
28,BOYS PS NO.1 LALIAN,T.C LALLIAN,58030105,-,545,578,1123,1,1,2
29,VOCATIONAL TRAININD INSTITUTE*JHAND ROAD NEAR ,T.C LALLIAN,58030106,-,1285,918,2203,2,1,3
30,GIRLS JADID NO.2 NEAR ,T.C LALLIAN,58030107,-,497,463,960,1,1,2
31,REST HOUSE *LALIAN,T.C LALLIAN,58030201,-,1072,754,1826,2,1,3
32,BOYS PS NO.4 LALIAN,T.C LALLIAN,58030202,-,787,685,1472,1,1,2
33,BOYS HS LALIAN (PRIMARY ,T.C LALLIAN,58030203,-,931,783,1714,2,1,3
34,TC OFFICE *LALIAN,T.C LALLIAN,58030204,-,481,456,937,1,1,2
35,GIRLS MS OLD BUILDING ,T.C LALLIAN,58030205,-,747,524,1271,1,1,2
