SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GIRLS PRIMARY SCHOOL DAK JATTAN,DAK JATTAN,064251205,-,427,393,820,2,1,3
,,MARRAR,064251203,-,102,99,201,,,
,,JHANG,06425102,-,68,61,129,,,
2,BOYS HIGH SCHOOL DAK CHIBBAN,DAK CHIBBAN,064251204,-,373,402,775,1,1,2
,,SHAH GURAH,064250201,-,113,108,221,,,
3,GIRLS PRIMARY SCHOOL POTHI,POTHI,064251206,-,510,504,1014,2,2,4
,,POTHI,064251207,-,395,399,794,,,
4,GIRLS PRIMARY SCHOOL MASOOMPUR,MASOOMPUR,064251001,-,350,327,677,1,1,2
,,HERCHAHAL,064251003,-,154,121,275,,,
5,GIRLS PRIMARY SCHOOL MASOOMPUR,MASOOMPUR,064251002,-,440,360,800,1,1,2
,,JAGORAH,064251006,-,31,27,58,,,
6,GIRLS ELEMENTARY SCHOOL SAADAT PUR,BHAGO SHAH PUR,064251008,-,539,486,1025,1,1,2
,,GURAH NANGIAL,064251007,-,54,45,99,,,
7,GIRLS HIGH SCHOOL SAADAT PUR,SAADAT PUR,064251108,-,131,127,258,1,1,2
,,REHMAN PUR,064251005,-,293,242,535,,,
,,BHAMBLE,064251004,-,206,187,393,,,
8,GIRLS HIGH SCHOOL SHAKRILA,HATTAR,064251101,-,201,155,356,2,1,3
,,GORIAN,064251107,-,173,173,346,,,
,,SHAKRILLA,064251105,-,212,162,374,,,
9,BOYS M/S PIND AZIZ,PIND AZIZ,064250901,-,801,654,1455,2,2,4
10,BOYS M/S MANDI BHALWAL,MANDI BHALWAL,064250902,-,610,551,1161,2,1,3
11,GIRLS M/S MANDI BHALWAL,MANDI ,064250902,-,555,515,1070,2,1,3
12,BASIC HEALTH UNIT*MANDI BHALWAL,MADI BHALWAL,064250903,-,330,287,617,1,1,2
,,MOHRI,064250905,-,60,60,120,,,
13,BOYS HIGH SCHOOL THIL,THIL BIKOHAL,064250705,-,574,486,1060,2,2,4
,,AIMA SHAH JEE,064250703,-,195,192,387,,,
14,BOYS HIGH SCHOOL THIL,THIL BIKOHAL,064250706,-,410,358,768,2,2,4
,,MOJA,064250704,-,251,239,490,,,
15,BOYS HIGH SCHOOL PIR ,PIR KHANA,064250701,-,580,543,1123,2,1,3
16,GIRLS PRIMARY SCHOOL PIR ,PIR KHANA,064250702,-,482,436,918,1,1,2
17,GIRLS PRIMARY SCHOOL ,SHEIKH PUR,064250803,-,425,435,860,1,2,3
18,BOYS PRIMARY SCHOOL ,SHEIKH PUR,06250802,-,451,372,823,1,1,2
19,BOYS PRIMARY SCHOOL SANG,SANG,064250806,-,337,360,697,1,1,2
20,BOYS PRIMARY SCHOOL ,CHAAR,064250805,-,521,463,984,2,1,3
21,BOYS HIGH SCHOOL BOLANI,BOLANI,064250601,-,477,376,853,2,2,4
,,CHAK QAIM,064250606,-,263,228,491,,,
,,NANDANA,064250804,-,141,127,268,,,
22,GIRLS HIGH SCHOOL BOLANI,BOLANI,064250602,-,573,581,1154,2,2,4
,,BOLANI,064250603,-,244,218,462,,,
23,GIRLS PRIMARY SCHOOL GHIYAL (MALE),GHIYAL,064250604,-,334,,334,2,,2
,,GHIYAL,064250605,-,539,,539,,,
24,GIRLS PRIMARY SCHOOL GHIYAL (FEMALE),GHIYAL,064250604,-,,293,293,,2,2
,,GHIYAL,064250605,-,,538,538,,,
25,BOYS PRIMARY SCHOOL QAZI ,QAZI BAQAR,064250302,-,452,347,799,1,1,2
26,BOYS PRIMARY SCHOOL DHOK ,DHOK MUREED,064250303,-,448,382,830,1,1,2
27,BOYS PRIMARY SCHOOL ,KINARA,064250304,-,550,446,996,1,1,2
28,BOYS PRIMARY SCHOOL ,JAGGU,064250301,-,653,484,1137,2,1,3
29,GIRLS PRIMARY SCHOOL ,DANDI MALYAR,064250402,-,485,469,954,1,1,2
30,GIRLS PRIMARY SCHOOL ,DANDI MALYAR,064250401,-,496,424,920,1,1,2
31,BOYS HIGH SCHOOL DANDI NIZAM(MALE),DANDI NIZAM,064250404,-,691,,691,2,,2
,,DANDI NIZAM,064250405,-,199,,199,,,
32,BOYS HIGH SCHOOL DANDI NIZAM(FEMALE),DANDI NIZAM,064250404,-,,678,678,,2,2
,,DANDI NIZAM,064250405,-,,161,161,,,
33,BOYS PRIMARY SCHOOL ,PHULARWAN,064250403,-,659,601,1260,2,1,3
34,BOYS HIGH SCHOOL BESA,BESA,064250501,-,706,650,1356,2,2,4
,,BESA,064250503,-,254,232,486,,,
35,GIRLSELEMENTARY SCHOOL ,BESA,064250502,-,589,519,1108,2,1,3
36,GOVT BOYS PRIMARY SCHOOL ,BESA,064250504,-,393,337,730,1,1,2
37,BOYS PRIMARY SCHOOL BILO ,BILO BANIAN,064250505,-,385,320,705,1,1,2
38,BOYS PRIMARY SCHOOL NOTHIA QURESHIAN,BOYS PRIMARY SCHOOL NOTHIA QURESHIAN,064240102,-,586,510,1096,2,1,3
39,BOYS PRIMARY SCHOOL DHAL,DHAL,064250101,-,255,195,450,2,1,3
,,KAKROT,064240101,-,322,334,656,,,
40,BOYS MOSQUE SCHOOL*RAHIAN,TAHIAN,064250202,-,252,271,523,1,1,2
,,TOOTIAN,064240101,-,122,93,215,,,
,,TIBBI TAN,064250205,-,49,33,82,,,
,,TIBBI KHANA LANGAH,064250201,-,18,22,40,,,
41,BOYS HIGH SCHOOL QASBA KARYALI(EAST SIDE),QASBA KARYALI,064250103,-,179,174,353,2,1,3
,,QASBA KARYALI,064250104,-,492,404,896,,,
42,BOYS HIGH SCHOOL QASBA KARYALI,QASBAKARYALI,064250105,-,317,255,572,2,1,3
,,QASBAKARYALI,064250106,-,314,304,618,,,
43,GIRLS ELEMENTARY SCHOOL QASBA KARYALI,QASBAKARYALI,064250107,-,212,184,396,2,1,3
,,QASBAKARYALI,064250108,-,375,342,717,,,
,,TIBBI TANNAN(BC),064250109,-,0,0,0,,,
44,BOYS BRIMARY SCHOOL KHAL,KHAL,064250204,-,388,353,741,2,1,3
,,KHANPUR,064250206,-,181,170,351,,,
,,NUKHIAN (BC),064250209,-,99,83,182,,,
,,JARA (BC),64250210,-,0,0,0,,,
,,TIBBI BAKHTAWAR(BC),064250211,-,0,0,0,,,
45,BOYS HIGH SCHOOL BHAG NAGAR,BHAG NAGAR,64250208,-,472,467,939,2,2,4
,,MAMAZ PUR,064250207,-,306,277,583,,,
46,BOYS PRIMARY SCHOOL DAMUN CHAK,DAMUN CHAK,064251102,-,119,101,220,1,1,2
,,RANIAN,064251104,-,91,100,191,,,
,,PINDI AJUTAAS,064251106,-,68,107,175,,,
,,MASOOMPUR TORAN,064250203,-,144,120,264,,,
47,BOYS PRIMARY SCHOOL ,RASHEED PUR,064240304,-,581,561,1142,2,1,3
48,GIRLS PIRMARY SCHOOL KHAN PUR KHAMBI,KHAN PUR KHAMBI,064240304,-,505,435,940,2,2,4
,,CHAK NOTHEH,064240307,-,360,343,703,,,
49,GIRLS PIRMARY SCHOOL  MAHAY KHURD (MALE),MAHAY KHURD,064240301,-,580,,580,2,2,4
,,MAHAY KALAN,064240205,-,1110,,1110,,,
