SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOVT PRIMATY  SCHOOL SARBAROOT.,SHAH KABAL,158051001,125M 90F,955,770,1725,2,,2
,,SARBROOT,158051002,135M 122F,,,0,,,
,,CHISKLAN,158051003,81M 59F,,,0,,,
,,KHO BAGRAN,158051004,185M 143F,,,0,,,
,,BEES BIN,158051005,429M 356F,,,0,,,
2,GOVT PRIMARY SCHOOL BHARRAY,RANJA,158051006,55M 51F,733,629,1362,1,1,2
,,BAKKA,158051007,83M 61F,,,0,,,
,,BHARRY-1,158051008,291M F252,,,0,,,
,,BVHARRY-II,158051009,304M 265F,,,0,,,
3,GOVT HIGH SCH: BAGHPUR DHERI,BAGHPUR DHERI-I,158051010,282M 242F,,,0,1,1,2
,,NAROTA,158051011,340M 281F,622,523,1145,,,
4,GOVT MIDDLE SCHOOL ,PAKISHAI,158051012,700M 667F,700,667,1367,1,1,2
5,GOVT MIDDLE SCHOOL KOTLA,KOTLA,158051013,637M 518F,637,518,1155,1,1,2
6,GOVT PRIMARY SCHOOL CHAPRIAN,SARAI,158050901,117M 109F,381,344,725,1,1,2
,,SARI BANG,158050904,264M 235F,,,0,,,
7,GOVT HIGH SCHOOL CHAJIAN (MALE),CHAJIAN-I,158050902,402M,716,,716,1,1,2
,,CHAJIAN-II,158050903,314M,,,0,,,
8,GOVT GIRLS MIDDLE SCH CHAJIAN (f),CHAJIAN-I,158050902,396F,,708,708,1,1,2
,,CHAJIAN-II,158050903,312F,,,0,,,
9,GOVT MIDDLE SCH; SARDHANA,PAMBALA,158050107,76M 81F,690,571,1261,1,1,2
,,KHARALA,158050108,104M 83F,,,0,,,
,,SARADHANA-I,158051301,254M 230F,,,0,,,
,,SARADHANA-II,158051302,256M 177F,,,0,,,
10,GOVT HIGH SCHOOL CHOOI-I,CHOOI-I,158051303,499M 461F,864,807,1671,2,2,4
,,CHOOI-II,158051304,365M 346F,,,0,,,
11,GOVT DEGREE COLLEGE HARPUR,MORA CHAZAN,158015305,302M 251F,726,654,1380,1,1,2
,,SHOUAL,158051306,41M 27F,,,0,,,
,,NANSUKH,158051307,127M 105F,,,0,,,
,,TAMAWA,158051308,256M 271F,,,0,,,
12,GOVT HIGH SCHOOL BEHRA,CHTTI,158051309,152M 120F,900,785,1685,2,2,4
,,DOBANDI,158051310,439M 378F,,,0,,,
,,BEHRA,158031311,309M 287F,,,0,,,
13,GOVT PRIMARY SCHOOL ,GHUMAWAN-I,158050801,414M 436F,414,436,850,1,1,2
14,GOVT PRIMARY SCHOOL GHUMAWAN,GHUMAWAN-II,158050802,237M 253F,512,523,1035,1,1,2
,,GHUMAWAN-III,158050803,275M 270F,,,0,,,
15,BASIC HEALTH UNIT ,GHUMAWAN-IV,158050804,524M 505F,524,505,1029,1,1,2
16,GOVT MIDDLE SCHOOL ,GHANDIAN-I,158050805,535M 571F,535,571,1106,1,1,2
17,GOVT GIRLS PRIMARY SCH: ,GHANDIAN-II,158050806,741M 715F,741,715,1456,2,2,4
18,GOVT MIDDLE SCHOOL KOT JANDAN,KANTHIA,158051201,222M 211F,643,515,1158,1,1,2
,,KOT JANDAN,158051203,421M 304F,,,0,,,
19,GOVT GIRLS PRIMARY SCH: RAJDHANI,NARTOPA,158051204,67M 52F,530,506,1036,1,1,2
,,RAJDHANI,158051206,278M 279F,,,0,,,
,,KANWALI,158051206,185M 175F,,,0,,,
20,GOVT HIGH SCH: GARAMTHOON,SABRA,1580512021,72M 66F,928,902,1830,2,2,4
,,GARAMTHOON,158051207,490M 471F,,,0,,,
,,TAMAKI,158051208,87M 99F,,,0,,,
,,SOHAWA,158051209,144M 134F,,,0,,,
,,KOTHERA,158051210,135M 132F,,,0,,,
21,GOVT GIRLS PRIMARY SCHOOL JANDI,DESRA,158050601,162M 168F,689,585,1274,1,1,2
,,JANDI,158050602,527M 417F,,,0,,,
22,GOVT PRIMARY SCH: SARIEE,SAMI,158050603,692M 573F,692,573,1265,1,1,2
23,GOVT MIDDLE SCHOOL BAGLA,HALI,158050604,569M 481F,569,481,1050,1,1,2
24,GOVT HIGH SCHOOL HALLI,HALLI,158050605,-,548,432,980,1,1,2
25,BASIC HEALTH UNIT HATTAR,MOH. NARI,158050201,716M 330F,1168,637,1805,2,2,4
,,HATTAR.I,158050203,452M 307F,,,0,,,
26,GOVT PRIMARY SCHOOL HATTAR,MOH MADNI,158050202,434M 408F,682,585,1267,1,1,2
,,KAMALPUR,158050214,237M 177F,,,0,,,
,,CHECK KAMALPUR,158050218,11M,,,0,,,
27,GOVT HIGH SCHOOL HATTAR,HATTAR-II,158050204,291M 264F,557,509,1066,1,1,2
,,HATTAR-III,158050205,266M 245F,,,0,,,
