SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GMS* ASIGI,UNDESA,002060102,-,40,33,73,2,1,3
,,TANGO BAGH,002060103,-,107,72,179,,,
,,KHARKAI,002060104,-,56,19,75,,,
,,ASILO,002060105,-,238,147,385,,,
,,BANJO DERA,002060106,-,103,53,156,,,
,,ASIGAY,002060802,-,370,218,588,,,
,,PETAW DUBERA,002060906,-,159,45,204,,,
2,BHU. ASIGI DARA,BADO PATAY,002060101,-,104,62,166,2,1,3
,,SORI DUBERA,002060702,-,89,43,132,,,
,,TANGO MANZ,002060801,-,114,70,184,,,
,,TOROWANO,002060803,-,19,11,30,,,
,,DELOW KANDAW,002060901,-,20,9,29,,,
,,SHAHTOOT,002060902,-,24,11,35,,,
,,BABAKRAY,002060903,-,105,37,142,,,
,,TARNAW,002060904,-,33,21,54,,,
,,KHANGAI PATAY,002060905,-,103,39,142,,,
3,GPS* GANJILA,GANJILA,002060304,-,356,242,598,2,1,3
,,GHUZANO BANDA,002060306,-,145,95,240,,,
,,SALIGRAM (P),002060601,-,93,69,162,,,
,,CHARG,002060804,-,136,91,227,,,
,,JUGI BANDA,002060805,-,83,59,142,,,
,,SALIGRAM (B),002060806,-,62,38,100,,,
4,GPS* DOGAI,WATONO,002060204,-,36,24,60,2,1,3
,,SIALKOTO,002060205,-,36,22,58,,,
,,BAKANRA,002060604,-,118,77,195,,,
,,GHAWAGO,002060605,-,122,106,228,,,
,,DANDA,002060606,-,196,152,348,,,
,,DOGAI,002060701,-,258,135,393,,,
,,MARKHANAI NO 2,002060703,-,41,31,72,,,
,,BALO,002060704,-,101,58,159,,,
,,GHAWARGO,002060705,-,115,70,185,,,
,,BARGHWALAI,002060706,-,50,0,50,,,
5,GGHS* NAWAGAI RABAT,NAWAGAI (B),002060403,-,391,314,705,2,1,3
,,NAWAGAI (P),002060404,-,406,271,677,,,
6,GHS* RABAT,KOTKAI RABAT,002060401,-,437,249,686,2,1,3
,,RABAT QILLA,002060402,-,162,107,269,,,
,,SABAR SHAH KORONA,002060405,-,259,156,415,,,
,,SPINA KHAWRA,002060406,-,59,24,83,,,
7,GPS* SHAGAI RABAT,ASIGITEER,002060301,-,172,109,281,2,1,3
,,SHAGAI RABAT,002060302,-,323,229,552,,,
,,OGO SHAH,002060303,-,75,52,127,,,
,,GADANO BANDA,002060305,-,105,91,196,,,
8,GMS* MANDESH,MARKHANAI NO 1,002060201,-,126,111,237,2,1,3
,,MANOGAY MANDESH,002060202,-,137,79,216,,,
,,MALAL,002060203,-,239,146,385,,,
,,MANDESH,002060206,-,639,463,1102,,,
9,GMS* MANZBANDA,SARBAND,002050101,-,502,351,853,2,1,3
,,MANZ BANDA,002050102,-,304,202,506,,,
,,AWLIABANDA,002050103,-,105,65,170,,,
,,BANDAGAI,002050104,-,215,140,355,,,
,,DAMAMO,002050105,-,129,71,200,,,
10,GMS* MUNJAL,MUNJAL-I,002050106,-,380,182,562,2,1,3
,,MUNJAL-II,002050107,-,560,396,956,,,
,,BARGHWALAI,002050108,-,119,57,176,,,
11,GHS* WATANGAI (P),DOODKHANA,002050201,-,276,155,431,2,1,3
,,TOKRAI BALA,002050202,-,226,120,346,,,
,,TOKRAL PAYEEN,002050203,-,109,69,178,,,
,,WATANGAI (B),002050204,-,239,92,331,,,
,,WATANGALI (P),002050205,-,311,145,456,,,
12,GPS* BAROON,BAROON-I,002050206,-,685,206,891,2,1,3
,,BAROON-II,002050207,-,186,212,398,,,
,,PAINDAIKAS,002050208,-,43,37,80,,,
13,GHS* RANI,ZIARAT KALAI,002060502,-,174,124,298,2,1,3
,,RANI,002060504,-,323,273,596,,,
,,KAKORAL,002060506,-,229,205,434,,,
,,GIRO KHAWAR,002060603,-,43,33,76,,,
14,GGPS* DHAB,DHAB,002060501,-,217,191,408,2,1,3
,,KHUSHMUQAM,002060503,-,76,67,143,,,
,,GHANI DEHRAI,002060505,-,206,137,343,,,
,,SANGAR,002060602,-,110,81,191,,,
15,GPS* DANWA,GURJIA,002050506,-,193,119,312,2,1,3
,,DARGAI,002050601,-,21,26,47,,,
,,KASS KOTO,002050602,-,177,141,318,,,
,,DOBANDO,002050603,-,99,47,146,,,
,,KASS DANWA,002050604,-,275,210,485,,,
,,KHASS DANWA,002050605,-,312,246,558,,,
16,GMS* LATAL,RASHKHANAI,002050402,-,203,123,326,2,1,3
,,LETAI,002050404,-,157,141,298,,,
,,BANR SAFARAY,002050405,-,53,48,101,,,
,,PANO,002050501,-,102,81,183,,,
,,ZAIM,002050502,-,62,50,112,,,
,,GIDARO SLAR,002050503,-,45,68,113,,,
,,TANGAI,002050505,-,62,54,116,,,
17,C.D KHARKAI (S),ZIARAT SHAH,002050301,-,38,35,73,2,1,3
,,QILLAGAI,002050302,-,173,119,292,,,
,,BAR KALAY,002050303,-,86,69,155,,,
,,SHEIKH PATAY,002050304,-,72,75,147,,,
,,ANANGORO SARDARA,002050305,-,84,79,163,,,
,,PURI KALAY,002050306,-,136,105,241,,,
,,KHAWAR,002050401,-,54,49,103,,,
,,KHARKAI SIAR,002050403,-,229,168,397,,,
,,GAT,002050504,-,102,61,163,,,
18,GLMS* TRAI,TRAI* SHAGOKAS,002010101,-,834,454,1288,2,1,3
19,GGHS* SADO,SADO* REHANKOT,002010102,-,697,307,1004,2,1,3
20,GHSS SADO AT SHEKOLAI,SHAKOLAI DABAR,002010103,-,1029,414,1443,2,1,3
21,GHS* KHUNGI,KHUNGI (B & P),002010104,-,826,485,1311,2,1,3
22,GPS* KHUNGI,KHUNGI SHAH* BEGUM DARA,002010105,-,663,488,1151,2,1,3
23,GPS* TIMERGARA MALE PORTION,KHAWAR* KUZ KALAY* REST HOUSE,002010201,-,586,0,586,3,0,3
,,SHAHGUL ABAD* CIVIL QUARTER,002010202,-,788,0,788,,,
