SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,SCHOOL OF NURSING/OPD RAILWAYS HOSPITAL* NEAR,-,41020101,-,925,,925,3,,3
,RAILWAY SPORTS STADIUM ,-,41020102,-,906,,906,,,
2,GOVT GIRLS PRIMARY SCHOOL NO 2 & 3 BOARING ROAD,-,41020101,-,,748,748,,3,3
,,-,41020102,-,,689,689,,,
3,SCHOOL OF NURSING/OPD RAILWAYS HOSPITAL NEAR,-,41020103,-,708,,708,3,,3
4,GOVT GIRLS PRIMARY SCHOOL NO 2 & 3 BOARING ROAD,-,41020103,-,,571,571,,3,3
,(FEMALE),-,41020104,-,,371,371,,,
,,-,41020105,-,,660,660,,,
,,-,41020106,-,,166,166,,,
5,GOVT DEGREE COLLEGE FOR WOMEN MANGTAL (NEW,-,41020201,-,383,,383,2,,2
,BULDING) (MALE),-,41020202,-,338,,338,,,
,,-,41020203,-,521,,521,,,
6,M.C DISPENSARY BOARING ROAD BILAL MOHALLAH,-,41020201,-,,335,335,,2,2
,FAROQIA CHOWK (FEMALE),-,41020202,-,,262,262,,,
,,-,41020203,-,,425,425,,,
7,GOVT DEGREE COLLEGE FOR WOMEN MANGTAL (NEW,-,41020204,-,254,,254,2,,2
,BULDING) (MALE),-,41020205,-,449,,449,,,
,,-,41020206,-,506,,506,,,
8,MC GIRLS RRIMARY SCHOOL NO 1 (MANGTAL) NEAR,-,41020204,-,,195,195,,2,2
9,NEW LAND MODEL HIGH SCHOOL HAFIZABAD WEST,-,41020301,-,640,,640,2,,2
,,-,41020302,-,618,,618,,,
10,MC PRIMARY SCHOOL MEHAR ABAD DHOKE DARZIAN,-,41020301,-,,420,420,,2,2
,,-,41020302,-,,386,386,,,
11,NEW LAND MODEL HIGH SCHOOL DHOKE HASSU (MALE),-,41020303,-,729,,729,2,,2
,,-,41020304,-,723,,723,,,
12,MC PRIMARY SCHOOL MEHAR ABAD DHOKE DARZIAN,-,41020303,-,,553,553,,2,2
,,-,41020304,-,,531,531,,,
13,CAPITAL PUBLIC MODEL COLLEGE DHOKE HASSU,-,41020401,-,913,,913,3,,3
,,-,41020402,-,874,,874,,,
14,SHAHEEN PUBLIC SCHOOL UC 5 CANTT ZB-1622 ST 3 MEHAR,-,41020401,-,,592,592,,2,2
,ABAD DHOKE HASSU,-,41020402,-,,642,642,,,
15,NEW LAND MODEL HIGH SCHOOL UC-5 HAFIZABAD,-,41020403,-,588,,588,2,,2
,WESTRIDGE 3 DHOKE HASSU ,-,41020404,-,672,,672,,,
16,SHAHEEN PUBLIC SCHOOL DHOKE HASSU UC-5 CANTT,-,41020403,-,,439,439,,2,2
,,-,41020404,-,,528,528,,,
17,GOVT DEGREE COLLEGE FOR WOMEN DHOKE HASSU (MALE),-,41020501,-,688,,688,2,,2
,,-,41020502,-,810,,810,,,
18,GOVT GIRLS HIGH SCHOOL DHOKE HASSU (FEMALE),-,41020501,-,,479,479,,3,3
,,-,41020502,-,,598,598,,,
,,-,41020503,-,,624,624,,,
,,-,41020504,-,,223,223,,,
19,GOVT DEGREE COLLEGE FOR WOMEN DHOKE HASSU (MALE),-,41020503,-,820,,820,2,,2
,,-,41020504,-,276,,276,,,
20,GOVT DEGREE COLLEGE FOR WOMEN DHOKE HASSU (MALE),-,41020601,-,382,,382,2,,2
,,-,41020603,-,630,,630,,,
21,GOVT GIRLS DEGREE COLLEGE FOR WOMEN DHOKE HASSU,-,41020602,-,496,,496,2,,2
,,-,41020604,-,705,,705,,,
22,GOVT GIRLS HIGH SCHOOL DHOKE HASSU (FEMALE),-,41020601,-,,281,281,,3,3
,,-,41020602,-,,398,398,,,
,,-,41020603,-,,481,481,,,
,,-,41020604,-,,503,503,,,
23,AL AZIZ PUBLIC ELEMENTARY MIDDLE SCHOOL BOARING,-,41020701,-,389,,389,2,,2
,ROAD PIRWADHI (MALE),-,41020702,-,675,,675,,,
24,GOVT FAKHRUL-UL-ISLAM ELIMENTARY SCHOOL BAIKARY,-,41020701,-,,306,306,,2,2
,CHOWK PIRWADAHI (FEMALE),-,41020702,-,,464,464,,,
,,-,41020703,-,,314,314,,,
25,SYED PUBLIC HIGH SCHOOL BOKRA ROAD PIRWADAHI,-,41020703,-,419,,419,2,,2
,,-,41020704,-,603,,603,,,
26,SYED PUBLIC HIGH SCHOOL BOKRA ROAD PIRWADAHI,-,41020705,-,656,,656,2,,2
,,-,41020706,-,528,,528,,,
27,GOVT FAKHRUL-UL-ISLAM ELEMENTARY SCHOOL,-,41020704,-,,419,419,,2,2
28,GOVT PRIMARY SCHOOL QUADI ABAD PIR WADAHI (MALE),-,41020801,-,301,,301,2,,2
,,-,41020802,-,976,,976,,,
29,GOVT PRIMARY SCHOOL QUADI ABAD PIR WADAHI (MALE),-,41020803,-,835,,835,2,,2
,,-,41020804,-,333,,333,,,
