SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GHS YOUSAF KHEL,JANDA KILLI,30010101,-,662,0,662,2,0,2
,,ZIARAT ADAAMAZAI,30010102,-,986,0,986,,,
2,BHU YOUSAF KHEL,ZIARAT KHAZEENA,30010103,-,602,0,602,3,0,3
,,KOGA PAND,30010104,-,486,0,486,,,
,,CHINARI QAZIAN,30010105,-,492,0,492,,,
,,MALIK MIAN JAN KORRONA,30010106,-,255,0,255,,,
,,CHINARAI PAYAN,30010107,-,275,0,275,,,
3,GPS YOUSAF KHEL,CHINARAI BALA,30010108,-,242,0,242,2,0,2
,,SAGI BALA,30010109,-,828,0,828,,,
,,SAGI BALA MULA JAN KIN,300101110,-,823,0,823,,,
4,GPS KASAI,SAGI BAL JUMA KHAN,30010111,-,416,0,416,2,0,2
,,SAGI PAYAN,30010112,-,830,0,830,,,
5,BHU KASAI,HABIB ZAI,30010113,-,863,0,863,3,0,3
,,AYA KOR,30010114,-,581,0,581,,,
,,KAMAL KHEL,30010115,-,631,0,631,,,
6,GGMS HAMID KHAN KALAI,WALI KOR,30010116,-,454,0,454,3,0,3
,,SAPAI,30010117,-,456,0,456,,,
,,MALIK SULTAN SANDU KHEL,30010118,-,743,0,743,,,
,,HUSSAIN KHAN,30010119,-,766,0,766,,,
7,GGPS HAJI NADAR KHWAJA WAS KORE,QAMARDIN KHEL,30010120,-,640,0,640,2,0,2
,,SHALAM KHEL,30010121,-,489,0,489,,,
8,BHU GHAZI KORE,GANDA GHAR,30010122,-,501,0,501,3,0,3
,,GHAZI ABAD,30010125,-,619,0,619,,,
,,KHADI KHEL,30010123,-,680,0,680,,,
,,MULATAM KOR,30010124,-,363,0,363,,,
9,CD MIANGAN,ADIN KHEL,30010126,-,489,0,489,2,0,2
,,KHANQA MIANGHAN,30010127,-,251,0,251,,,
,,QALAGAI,30010128,-,963,0,963,,,
10,BHU SANGAR,MALI LALOONA KHEL,30010129,-,256,0,256,4,0,4
,,ALINGAR PAYAN,30010130,-,206,0,206,,,
,,MALIK RUFAT KILLI,30010131,-,357,0,357,,,
,,ALINGAR BALA,30010132,-,292,0,292,,,
,,FAROOQ KILLI,30010133,-,481,0,481,,,
,,SARDARAI KILLI,30010134,-,303,0,303,,,
,,QAYUM KOR,30010135,-,636,0,636,,,
,,SHEIKH BABA MALIK MUSUDAR,30010136,-,572,0,572,,,
,,SHEIKH CHIRRI KILLI,30010137,-,457,0,457,,,
11,GGHSS GHALLANAI,JANDA KILLI,30010101,-,0,54,54,0,1,1
,,ZIARAT ADAAMZAI,30010102,-,0,281,281,,,
,,ZIARAT KKHAZEENA,30010103,-,0,204,204,,,
,,KOGA PAND,30010104,-,,201,201,,,
,,CHINARAI QAZIAN,30010105,-,0,223,223,,,
,,MALIK MIAN JAN KORRONA,30010106,-,0,84,84,,,
,,CHINARAI PAYAN,30010107,-,0,63,63,,,
,,CHINARAI BALA,30010108,-,0,37,37,,,
,,SAGI BALA,30010109,-,0,88,88,,,
,,SAGI BALA MULE JAN KILLI,30010110,-,0,78,78,,,
,,SAGI BALA JUMA KHAN,30030111,-,0,0,0,,,
,,SAGI PAYAN,30010112,-,0,52,52,,,
,,HABIB ZAI,30010113,-,0,0,0,,,
,,AYA KOR,30010114,-,0,36,36,,,
,,KAMAL KHEL,30010115,-,0,165,165,,,
,,WALI KOR,30010116,-,0,29,29,,,
,,SAPAI,30010117,-,0,30,30,,,
,,MALIK SULTAN SANDU KHEL,30010118,-,0,82,82,,,
,,HUSSAIN KHAN,30010119,-,0,146,146,,,
,,QAMERDIN KHEL,30010120,-,0,102,102,,,
,,SHALAM KHEL,30010121,-,0,22,22,,,
,,GANDA GHAR,30010122,-,0,62,62,,,
,,GHAZI ABAD,30010125,-,0,80,80,,,
,,KHADI KHEL,30010123,-,0,230,230,,,
,,MULATAM KOR,30010124,-,0,44,44,,,
,,ADIN KHEL,30010126,-,0,119,119,,,
,,KHANQA MIANGHAN,30010127,-,,40,40,,,
,,MALI LALOONA KHEL,30010129,-,,131,131,,,
,,ALINGAR PAYAN,30010130,-,,47,47,,,
,,MALIK RUFAT KILLI,30010131,-,,41,41,,,
