SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOVT. DEGREE COLLEGE FOR WOMEN HASANABDAL (NORTH,IRSHAD NAGAR,36090301,-,690,0,690,4,0,4
,PORTION) (MALE),MELAD NAGAR/BABA FAREDD NAGAR,36090302,-,666,0,666,,,
2,GOVT. DEGREE COLLEGE WOMEN HASSANABDAL,REHAM PURA,36090303,-,593,0,593,4,0,4
,(SOUTH PORTION) (MALE),MEHMOOD ABAD,360903304,-,398,0,398,,,
,,MEHMOOD ABAD,36090305,-,333,0,333,,,
3,GOVT BOYS ELEMENTRY HASSANABDAL (MALE),KHAWAJA NAGAR,36090306,-,743,0,743,2,0,2
4,GOVT BOYS HIGH SCHOOL HOUSING COLONY(EAST,MUNO NAGAR,36090401,1TO 842,842,,842,4,0,4
,PORTION) HASSANABDAL ,ISLAM PURA,36090402,1 TO 800,800,,800,,,
5,GOVT BOYS HIGH SCHOOL HOUSING COLONY (EAST,AMEER ABAD,36090403,-,513,0,513,3,0,3
,PORTION) HASSANABADAL ,SABIR ABAD,36090404,-,451,0,451,,,
6,GOVT GIRLS PRIMARY SCHOOL NO 1 ABBOTABAD CHOWK,FAUJI MILL,36090601,-,812,0,812,3,0,3
,HASSANABDAL (MALE),CADET COLONY,36090602,-,515,0,515,,,
7,MC BOYS PRIMARY SCHOOL MOHALLAH SHAHEED ABAD,MUNO NAGAR,36090401,-,0,365,365,0,3,3
,,ISLAM PURA,36090402,-,0,564,564,,,
8,GOVT BOYS ELEMENTRY SCHOOL HASSANABDAL CADET,FAUJI MILL,36090601,-,0,187,187,0,2,2
,COLLEGE (FEMALE),CADET COLLEGE,36090602,-,0,299,299,,,
9,GOVT BOYS PRIMARY SCHOOL MOHALLAH MEHR ABAD,AMEER ABAD,36090403,-,,376,376,0,3,3
,,SABIR ABAD,36090404,-,0,315,315,,,
10,GOVT GIRLS ELEMANTRY SCHOOL HASSANABDAL,IRSHAD NAGAR,36090301,-,0,462,462,0,4,4
,(FEMALE),BABA FAREED MEELAD NAGAR,36090302,-,0,565,565,,,
,,REHAM PURA,36090303,-,0,483,483,,,
11,GOVT GIRLS PRIMARY SCHOOL NO 3 MOH KHAWAJA NAGAR (FEMALE) HASSANABDAL,MEHMOOD ABAD,36090304,-,0,420,420,0,4,4
,,MEHMOOD ABAD,36090305,-,0,266,266,,,
,,KHAWAJA NAGAR,36090306,-,0,679,679,,,
12,GOVT BOYS HIGHET SEC SCHOOL (COLLEGE SIDE),MOH ANDROON,36090101,-,393,0,393,4,0,4
,HASSANABDAL (MALE),MOH. ANDROON,36090102,-,250,0,250,,,
,,PANJA BAZAR,36090103,-,352,0,352,,,
13,GOVT BOYS HIGHER SEC. SCHOOL (EAST PORTION),DK. MISKEEN,36090104,-,521,0,521,4,0,4
,,DK. MISKEEN,36090105,-,622,0,622,,,
14,GOVT BOYS HIGHE SEC SCHOOL (NORTH PORTION),SAKHI NAGAR,36090106,-,616,0,616,3,0,3
,HASSANABDAL (MALE),SADAT COLONY,36090603,-,292,0,292,,,
15,GOVT GIRLS DEGREE COLLEGE FOR WOMEN (EAST PORTION) HASSANABDA (MALE),MOH.OLD POST OFFICE PUNJABIAN,36090201,-,442,0,442,4,0,4
,,HITARAN,36090202,-,330,0,330,,,
,,GHULAM KHAN,36090203,-,360,0,360,,,
16,GOVT BOYS PRIMARY SCHOOL NO 2 MOH NIA HASSANABDAL,GHARI HASSAN,36090204,-,336,0,336,4,0,4
,(MALE),ROSHAN PURA,36090205,-,483,0,483,,,
,,JINAH COLONY,36090206,-,347,0,347,,,
17,GOVT GIRLS HIGHER SEC SCHOOL (COLLEGE SIDE SOURTHEN SIDE),MOH. ANDROON,36090101,-,0,379,379,0,4,4
,HASSANABDAL (FEMALE),MOH. ANDROON,36090102,-,0,264,264,,,
,,PANJA BAZAR,36090103,-,0,331,331,,,
18,GIRLS HIGHER SEC SCHOOL HASSANABDAL (EAST SIDE),DK. MISKEEN,36090104,-,0,450,450,0,3,3
,,DK. MISKEEN,36090105,-,0,455,455,,,
19,GOVT GIRLS HIGHER SEC. SCHOOL (NORTH SIDE),SAKHI NAGAR,36090106,-,0,413,413,,2,2
,HASSANABDAL (FEMALE),SADAT COLONY,36090608,-,0,218,218,,,
20,GOVT GIRLS PRIMARY SCHOOL NO 2(SOUTH SIDE) HASSANABDAL (FEMALE),PURANA DAK KHANA,36090201,-,0,380,380,0,4,4
,,HITARAN,36090202,-,0,332,332,,,
