PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 287 - Government Primary School Mokhe Jo Tar,24.94644,70.64057,Combined,Sindh,2,1,359,306
 288 - Government High School Wanko Bheel,24.94667,70.64024,Combined,Sindh,2,2,545,421
 124 - Government High School Mithrio Halepoto,24.9491675,70.6994302,Combined,Sindh,2,2,475,389
 140 - Government Primary School Satidera,24.9491675,70.6994602,Combined,Sindh,3,2,714,523
 122 - Government Middle School Tugusar Halipota,24.951545,70.634628,Combined,Sindh,3,2,647,526
 125 - Government Primary School Missri Shah,24.951545,70.634658,Combined,Sindh,2,2,483,381
 153 - Government Primary School Mithrio Juneja Main,24.951545,70.634688,Combined,Sindh,2,2,433,344
 154 - Government Primary School Jaghari,24.951545,70.634718,Combined,Sindh,2,2,564,478
 149 - Government Primary School Jakhra Colony,24.951545,70.634748,Combined,Sindh,1,1,423,355
 150 - Government Dispensary Beharao,24.951545,70.634778,Combined,Sindh,2,1,481,380
 161 - Government Primary School Goondi,24.96065752352789,70.75536197210523,Combined,Sindh,2,2,485,406
 277 - Government Middle School Rajoro ( Male),24.98831,70.49443,Male,Sindh,3,0,803,0
 278 - Government Middle School Rajoro (Female),24.98831,70.49446,Female,Sindh,0,3,0,649
 264 - Government Primary School Kankio,24.99146,70.57784,Combined,Sindh,2,2,545,413
 260 - Government Primary School Sadharo Nohri,24.998,70.64185,Combined,Sindh,2,2,434,344
 261 - Government Primary School Salu Bheel ( Male),24.998,70.64188,Male,Sindh,4,0,1068,0
 262 - Government Primary School Salu Bheel (Female ),24.99817,70.64185,Female,Sindh,0,3,0,837
 167 - Government Primary School Jalal Jhagoro,24.999012158294377,70.64327884472206,Combined,Sindh,1,1,309,251
 175 - Government Primary School Soondar Male,25.00066350039961,70.67469475393668,Male,Sindh,4,0,1030,0
 285 - Government Primary School Arab Khaskheli Paro Gul Mohammad Rind (Female),25.00115,70.67408,Female,Sindh,0,2,0,531
 258 - Government Primary School Adam,25.004250996184933,70.41408331047539,Combined,Sindh,2,1,464,379
 165 - Government Primary School Piloo,25.02652541727518,70.64115716667105,Combined,Sindh,2,2,401,340
 266 - Government Primary School Rawatsar,25.03978,70.76804,Combined,Sindh,2,1,341,303
 268 - Government High School Sakrio (Male),25.03978,70.76807,Male,Sindh,1,0,1040,0
 269 - Government High School Sakrio ( Female),25.03978,70.7681,Female,Sindh,0,1,0,871
 267 - Government Primary School Muhammad Ali Shah (S.Paro) (Improvised),25.03997,70.76808,Combined,Sindh,2,2,632,449
 259 - Government Primary School Kumbhe Ji Dhani,25.05302,70.69693,Combined,Sindh,2,2,518,393
 194 - Government Primary School Mamchero,25.05727614813326,70.44822740761003,Combined,Sindh,2,2,566,394
 273 - Government Primary School Rano Juneja Tardos (Female),25.06462,70.84035,Female,Sindh,0,2,0,630
 275 - Government Primary School Somarhar Sameja,25.06462,70.84038,Combined,Sindh,1,1,300,242
 274 - Goverment Primary School Dars Paro Tardos,25.06474,70.8403,Combined,Sindh,1,1,298,241
 189 - Government High School Danodhandal,25.067833832531853,70.74170589287125,Combined,Sindh,2,1,357,295
 245 - Government Middle School Saringhiar Meghwar Paro ( Male /Female),25.08735,70.5043,Combined,Sindh,2,2,469,371
 244 - Government Primary School Khamese To Tar Main,25.08736,70.50426,Combined,Sindh,2,1,392,329
 40 - GPS Karangri (Male),25.088999675001915,70.31062166830849,Male,Sindh,3,0,896,0
 41 - GPS Karangri Alam Paro (Female),25.088999675001915,70.3106516683085,Female,Sindh,0,3,0,734
 114 - GPS Muhammad Faten Samejo Charnore (Female),25.10563,70.65218,Female,Sindh,0,2,0,590
 120 - GPS Khan Muhammad Rind,25.10789,70.7224,Combined,Sindh,2,1,578,427
 117 - GPS Samoon Rind,25.10799,70.72236,Combined,Sindh,1,1,344,295
 284 - Government Primary School Gul Muhammad Rind Male,25.111965286533227,70.25644921135286,Male,Sindh,3,0,707,0
 102 - GPS Gaju Colony Chachro (Female),25.11376,70.26403,Female,Sindh,0,3,0,834
 101 - GPS Gaju Colony Chachhro (Male),25.11377,70.26412,Male,Sindh,4,0,1194,0
 182 - Basic Health Unit Virawah (Female),25.114781009216085,70.79296522800898,Female,Sindh,0,2,0,565
 263 - Govrenment Middle School Mubarak Rind,25.11557848856651,70.139087711505,Combined,Sindh,3,2,662,579
 250 - Government Primary School Mitha Tar (Male) Improvised,25.12026,70.51305,Male,Sindh,3,0,924,0
 248 - Government Primary School Bhanio Shahani,25.12028,70.51265,Combined,Sindh,1,1,297,206
 185 - Government Primary School Karitar,25.121657757133143,70.80223847196501,Combined,Sindh,2,2,488,374
 200 - Government Primary School Khari Veri Male,25.122993835001118,70.52369521318542,Male,Sindh,3,0,870,0
 276 - Government Girls Primary School Wawrai old,25.12307,70.87004,Combined,Sindh,2,1,365,318
 181 - Government Primary School Virawah Male,25.123686408169583,70.5951882576963,Male,Sindh,3,0,720,0
 118 - GHS Gajooabad,25.13096,70.65558,Combined,Sindh,1,1,308,277
 119 - GPS Shivo Charan,25.13101,70.65553,Combined,Sindh,2,2,386,333
 251 - Government Dispensary Sobhe Jo Tar,25.13162,70.4564,Combined,Sindh,1,1,267,224
 252 - Government Primary School Noori Jo Tar,25.1317,70.45643,Combined,Sindh,2,2,445,344
 116 - GPS Kesrar Shadman Samoon,25.1695,70.63815,Combined,Sindh,2,2,482,403
 113 - GPS Charnore H Latif Male,25.170104692531257,69.96079102698785,Male,Sindh,3,0,768,0
 179 - Government Primary School Dabhi Bheel,25.174919532146323,70.67122673392672,Combined,Sindh,1,1,212,166
 115 - GPS Karim Rind,25.17506,70.6713,Combined,Sindh,2,1,323,216
 68 - GMS Haji Anwar Paro Keetari (Male),25.19477,70.62118,Male,Sindh,4,0,1073,0
 56 - GPS Phulra Beh,25.196654286944906,70.62649263985435,Combined,Sindh,2,1,312,254
 69 - GPS Haji Anwar Paro Keetar Female,25.20119,70.62206,Female,Sindh,0,3,0,943
 55 - GPS Desrani,25.21816670941949,70.70687925556943,Combined,Sindh,2,2,391,304
 80 - GPS Rajo Khan Paro Tar Ahmed,25.21823,70.70687,Combined,Sindh,1,1,243,188
 91 - GPS Chatoon Ji Dhani,25.22402,70.48349,Combined,Sindh,2,1,362,294
 84 - GB Lower Secondary School Bhada Sandha,25.22694,70.24976,Combined,Sindh,2,1,449,306
 85 - GPS Tamachi Je Veri,25.22694,70.24979,Combined,Sindh,1,1,320,273
 49 - GPS Karoo Khan Soomro,25.226996974319068,70.62223786102763,Combined,Sindh,2,2,355,276
 48 - GPS Kharyoon Main,25.227089983456917,70.62221207367278,Combined,Sindh,1,1,269,237
