PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 312 - GOVERNMENT PRIMARY SCHOOL ALIGOHARABAD MALE,27.55015935545581,68.22213185792619,Male,Sindh,4,0,1137,0
 313 - GOVERNMENT PRIMARY SCHOOL ALIGOHARABAD FEMALE,27.55015935545581,68.2221618579262,Female,Sindh,0,3,0,937
 254 - GOVERNMENT PRIMARY SCHOOL CHANDKA COLONY,27.552122830591152,68.2011118730336,Combined,Sindh,2,1,490,396
 308 - GOVERNMENT PRIMARY SCHOOL DEENI MADERSAH MALE,27.55213104962935,68.21657959893528,Male,Sindh,3,0,1068,0
 309 - GOVERNMENT PRIMARY SCHOOL DEENI MADERSAH FEMALE,27.55213104962935,68.2166095989353,Female,Sindh,0,3,0,911
 255 - GOVERNMENT PRIMARY SCHOOL CHANDKA COLONY MALE,27.5521399465866,68.20114150471561,Male,Sindh,3,0,788,0
 310 - GOVERNMENT GIRLS DEGREE COLLEGE LARKANA MALE,27.55473542058445,68.21344393069356,Male,Sindh,4,0,1364,0
 311 - GOVERNMENT GIRLS DEGREE COLLEGE LARKANA FEMALE,27.554775621447778,68.21347731255136,Female,Sindh,0,4,0,1161
 251 - GOVERNMENT PILOT HIGH SCHOOL,27.55489,68.20822,Combined,Sindh,2,1,463,429
 252 - GOVERNMENT PILOT HIGH SCHOOL MALE,27.55489,68.20825,Male,Sindh,4,0,1112,0
 253 - GOVERNMENT PILOT HIGH SCHOOL FEMALE,27.55489,68.20828,Female,Sindh,0,3,0,901
 302 - DC HIGH SCHOOL LARKANA MALE,27.55550078977916,68.22121672831986,Male,Sindh,4,0,1454,0
 303 - DC HIGH SCHOOL LARKANA FEMALE,27.55550078977916,68.2212467283199,Female,Sindh,0,4,0,1108
 276 - GOVERNMENT DC HIGH SCHOOL LARKANA FEMALE,27.5555128205527,68.22123072147062,Female,Sindh,0,3,0,1070
 300 - DC HIGH SCHOOL LARKANA MALE,27.555532969593273,68.22114049398351,Male,Sindh,3,0,962,0
 301 - DC HIGH SCHOOL LARKANA FEMALE,27.555532969593273,68.2211704939835,Female,Sindh,0,3,0,827
 275 - GOVERNMENT DC HIGH SCHOOL LARKANA MALE,27.555533384413287,68.2211790797086,Male,Sindh,4,0,1424,0
 304 - DC HIGH SCHOOL LARKANA MALE,27.555543331934558,68.22123244106666,Male,Sindh,3,0,878,0
 305 - DC HIGH SCHOOL LARKANA FEMALE,27.555543331934558,68.2212624410667,Female,Sindh,0,3,0,772
 320 - GOVERNMENT PRIMARY SCHOOL BHEDA,27.556150476180804,68.24894941877403,Combined,Sindh,2,1,460,421
 306 - GOVERNMENT PRIMARY SCHOOL PV SINDHI MALE,27.55695,68.21427,Male,Sindh,3,0,802,0
 307 - GOVERNMENT PRIMARY SCHOOL PV SINDHI FEMALE,27.55695,68.2143,Female,Sindh,0,2,0,725
 298 - GOVERNMENT PRIMARY SCHOOL SHAH MUHAMMAD URDU MALE,27.556988729715073,68.22025438497073,Male,Sindh,3,0,917,0
 299 - GOVERNMENT PRIMARY SCHOOL SHAH MUHAMMAD URDU FEMALE,27.556988729715073,68.2202843849707,Female,Sindh,0,3,0,824
 296 - GOVERNMENT PRIMARY SCHOOL SHAH MUHAMMAD SINDHI,27.556999047432914,68.22023370298889,Combined,Sindh,2,2,633,560
 297 - GOVERNMENT PRIMARY SCHOOL SHAH MUHAMMAD URDU,27.557015431457376,68.22033675969388,Combined,Sindh,2,2,635,472
 294 - MUNICIPLE OFFICE LARKANA MALE,27.557151109872628,68.22071047272289,Male,Sindh,3,0,947,0
 295 - MUNICIPLE OFFICE LARKANA FEMALE,27.557151109872628,68.2207404727229,Female,Sindh,0,2,0,755
 284 - TALUKA MUNICIPAL ADMINISTRATION OFFICE LARKANA,27.557198442931295,68.22070046736918,Combined,Sindh,2,2,709,634
 196 - GOVERNMENT GIRLS PRY SCHOOL LAHORI MALE,27.5572,68.20476,Male,Sindh,4,0,1397,0
 219 - MUNICIPLE HIGH SCHOOL LARKANA MALE,27.55725,68.21236,Male,Sindh,4,0,1163,0
 220 - MUNICIPLE HIGH SCHOOL LARKANA FEMALE,27.55725,68.21239,Female,Sindh,0,3,0,1000
 197 - GOVERNMENT GIRLS PRY SCHOOL  LAHORI FEMALE,27.557260655902365,68.20486065538799,Female,Sindh,0,4,0,1197
 271 - GOVERNMENT BOYS PRIMARY SCHOOL GHULAM BHUTTO,27.55780391215684,68.22447173199745,Combined,Sindh,2,2,745,605
 273 - GOVERNMENT BOYS PRIMARY SCHOOL GHULAM BHUTTO,27.55780391215684,68.2245017319974,Combined,Sindh,2,2,629,476
 274 - GOVERNMENT BOYS PRIMARY SCHOOL GHULAM BHUTTO,27.55780391215684,68.2245317319975,Combined,Sindh,2,2,740,625
 288 - GOVERNMENT PRIMARY SCHOOL NOORANI MASJID LARKANA MALE,27.55845137170642,68.21416361217426,Male,Sindh,3,0,1017,0
 289 - GOVERNMENT PRIMARY SCHOOL NOORANI MASJID LARKANA FEMALE,27.55845137170642,68.2141936121743,Female,Sindh,0,3,0,827
 248 - HEALTH DISPENSARY LAHORI MALE,27.55928704376875,68.20951547552463,Male,Sindh,3,0,958,0
 249 - HEALTH DISPENSARY LAHORI FEMALE,27.55928704376875,68.2095454755246,Female,Sindh,0,3,0,849
 217 - GOVERNMENT PRIMARY SCHOOL OC LAHORI  LARKANA MALE,27.55937,68.21135,Male,Sindh,3,0,782,0
 218 - GOVERNMENT PRIMARY SCHOOL OC LAHORI  LARKANA FEMALE,27.55937,68.21138,Female,Sindh,0,2,0,696
 250 - BUREA OF STATICS OFFICE,27.55955102385709,68.20990148627804,Combined,Sindh,2,2,532,493
 286 - PUBLIC  HEALTH OFFICE GALIB NANGAR MALE,27.55982,68.21451,Male,Sindh,4,0,1149,0
 287 - PUBLIC  HEALTH OFFICE GALIB NANGAR FEMALE,27.55982,68.21454,Female,Sindh,0,3,0,956
 336 - GOVERNMENT PRIMARY SCHOOL SHER MUHAMMAD JAMALI,27.56019406479555,68.2423426312483,Combined,Sindh,2,2,740,753
 285 - DIVISIONAL POST OFFICE GHALIB NANGAR LARKANA,27.56109,68.21597,Combined,Sindh,2,2,667,554
