SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GHS SARA DARGAI FR PESHAWAR (COMBINED),MOHIB KHEL,015060101,-,309,217,526,2,1,3
,,SAMBI KHEL,015060104,-,187,88,275,,,
2,GHS KANDAW F.R PESHAWAR,ROKHEIN KHAN,015060102,-,251,218,469,1,1,2
,,-,015060103,-,281,157,438,,,
3,GMS NOOR AHBAR KILI FR PESHAWAR (COMBINED),-,015060109,-,293,188,481,1,1,2
,,TANGI JAN KOROMA,015060110,-,105,156,261,,,
4,GPS HAKIM KHAN KILA FR PESHAWAR (COMBINED),-,01502110202,-,251,218,469,3,1,4
,,-,015021103,-,281,157,438,,,
,,-,015060108,-,257,130,387,,,
,,ROKHEN KHEL,015060106,-,378,263,641,,,
,,ALI KHEL,015060107,-,411,258,669,,,
,,SABI KHEL,015060105,-,96,56,152,,,
5,GHS FARIDI KHEL FR ,FARIDI KHEL,15060607,-,458,266,724,1,1,2
6,GMS BAZ MIR KILLI FR PESHAWAR (COMBINED),-,015060605,-,288,289,577,1,1,2
,,PAKI BALA,015060606,-,247,243,490,,,
7,GHS KOHI HASSAN KHEL (COMBINED),ELA KHLE,015060301,-,309,226,535,1,1,2
,,MARRI KHEL,015060302,-,142,93,235,,,
8,GMS* NOOR ALI KILLA (COMB),EHARA KHEL,015060303,-,242,154,396,2,1,3
,,CHARA KHEL,015060304,-,354,191,545,,,
,,BOCHI KHEL,015060305,-,110,71,181,,,
,,ALLAH DAD KHEL,015060306,-,172,136,308,,,
9,GPS SHER DIL FR PESHAWAR.,-,015060309,-,209,88,297,2,1,3
,,-,015060310,-,208,178,386,,,
,,SHAMAL KHEL,015060307,-,193,160,353,,,
,,BAO KHAN KHEL,015060308,-,179,106,285,,,
10,GGPS MUZAFAR KHAN KILLI FR* PESHAWAR,SHARAFAT KHEL,0150606401,-,100,44,144,1,1,2
,,WALI DAD KHEL,0150606402,-,325,189,514,,,
11,GHS SHAMSHATO FR PESHAWAR,-,015060201,-,621,459,1080,2,1,3
,,MANDI,015060202,-,381,351,732,,,
12,GGMS NOUMAN KILLI FR PESHAWAR,MANI,15060203,-,462,406,868,2,2,4
,,SUMA BADABER,15060204,-,485,403,888,,,
13,GHSS SUMA BADABER FR PESHAWAR,-,15060205,-,501,368,869,2,2,4
,,SUMA BADABER,15060206,-,529,465,994,,,
14,GHS KANDI ZARIN KHEL,-,01560207,-,300,176,476,1,1,2
,,DARWESH KHEL,01560403,-,250,204,454,,,
,,ZARIN KHEL,01560404,-,182,112,294,,,
15,RUBAB CENTER HOSPITAL KOHI HASSANKHEL FR,SARMAST KHEL,015060405,-,315,244,559,1,1,2
,,PAI KHEL,015060408,-,312,214,526,,,
16,GPS MIAM KHEL FR PESHAWAR,MURID KHEL,015060406,-,290,207,497,1,1,2
,,MAZID KHEL,015060407,-,316,214,530,,,
17,GHS BORA NO. 1 FR PESHAWAR,-,015060501,-,247,189,436,2,1,3
,,-,015060502,-,221,202,423,,,
,,HATAM KHEL,015060503,-,217,143,360,,,
,,TATA KHEL,015060504,-,229,167,396,,,
18,GMS PASTAWANI FR PESHAWAR.,-,015060505,-,230,160,390,1,1,2
,,-,015060506,-,205,130,335,,,
,,PASTAWANI KHEL,015060507,-,176,128,304,,,
19,GPS* MUSA KHAN PASTAWANI FR PESHAWAR.,PASTAWANI KHEL,015060508,-,330,172,502,1,1,2
,,GARHI SHAMAT KHEL,015060509,-,48,49,97,,,
20,GPS. BORA NO. 2 FR PEHSAWAR.,BORA ALI KHEL,015060601,-,231,148,379,1,1,2
,,-,015060602,-,79,104,183,,,
,,SHERA KHEL,015060603,-,97,89,186,,,
,,MOL KHEL,015060604,-,181,210,391,,,
21,GHS JANA KORE FR PESHAWAR.,-,015060208,-,259,218,477,2,2,4
,,-,015060209,-,451,358,809,,,
,,TAKI JANA KORE,015060210,-,418,363,781,,,
22,GPS BURKI NO 1 JANA KORE FR PESHAWAR.,-,015060211,-,459,446,905,2,2,4
,,BURKI JANA KORE,015060212,-,306,283,589,,,
23,GHS* MUSA DARA FR ,MUSA DARA,015060510,-,452,396,848,1,1,2
24,G.P.S TOOR TANDI PAYA F.R KOHAT,TOOR TANDI PAYA,022080101,-,378,285,663,1,1,2
25,G.P.S BEHRAM KHEL F.R KOHAT.,BEHRAM KHEL PAYA,022080102,-,491,325,816,2,1,3
26,GMS GHARIBA F.R KOHAT,GHARIBA,022080103,-,506,356,862,2,1,3
27,GPS HABIBULLAH KALE F.R ,DAWA SARI,022080104,-,473,407,880,2,1,3
28,GPS ASIF KHEL F.R KOHAT,MULVI AYA GUL KALA,022080105,-,515,394,909,2,1,3
29,GMS PAYA/SHER BAHADAR KALA,GUZDARA PAYA,022080106,-,515,335,850,2,1,3
30,GMS JAMMU (PS-1),JAMMU BABU KHEL,022080201,-,536,319,855,1,1,2
31,GMS JAMMU (PS-2),JAMMU CHAPER KHEL SULTAN KHEL,022080203,-,268,216,484,1,1,2
32,GGPS KHAHI KHEL,JAMMU MANDER,022080202,-,414,215,629,1,1,2
33,GHS ARA KHEL,ARA KHEL,022080204,-,815,507,1322,2,2,4
34,GGPS LANDIWAL NO.1,SHEIKHAN LANDIWAL/LANDIWAL BABAR KHEL/,022080205,-,449,315,764,1,1,2
,,BAZI KHEL,022080206,-,,,,,,
35,GGPS WAKIL KHAN KALA,SAMANDI MELA/BOSTI KHEL,022080301,-,846,491,1337,2,1,3
36,GHS BOSTI KHEL (PS-1),LAS GHARI BOSTI KHEL,022080302,-,579,405,984,2,1,3
37,GHS BOSTI KHEL (PS-2),MUSA KHEL/AJAB KHAN KALA,022080303,-,465,263,728,1,1,2
