SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,PARAS EDUCATION SYSTEM*D-I*CHINA SCHEME.KOT KHAWAJA,QAMMAR DIN PARK-2,070170101,"1-774* B-1",774,,774,2,,2
,SAEED*(MALE),QAMMAR DIN PARK,070170102,"1-924*B-2",924,,924,,,
2,PARAS EDUCATION SYSTEM.D-1*CHAINA SECHEME* KOT KHAWAJA,QAMMAR DIN PARK-2,070170101,"1-480*B-1",,480,480,,2,2
,SAEED*(FEMALE),QAMMAR DIN PARK,070170102,"1-535*B-2",,535,535,,,
3,FAROOQ JUNIOR MODEL SCHOOL*C-2*CHINA SCHEME*QAMAR PARK* NEAR,JANI PURA GUJAR PURA,070170103,"1-845*B-1",845,,845,2,,2
,,JANI PURA,070170104,"1-458*B-2",458,,458,,,
4,FAROOQ JUNIOR MODEL SCHOOL* C-2*CHINA SCHEME*QAMAR PARK NEAR,JANI PURA GUJAR PURA,070170103,"1-620*B-1",,620,620,,2,2
,,JANI PURA,070170104,"1-288*B-1",,288,288,,,
5,GOVERNMENT TALEEM-O-TARBIAT P/S FOR,JANI PURA-2,070170105,"1-659*B-1",659,,659,3,,3
,BOYS* ELAHI TOWN*CHINA SCHEME* BHAGATPURA NEAR,CHINA SCHEME GUJAR PURA,070170106,"1-535*B-2",535,,535,,,
,,-,-,"536-1061*B-3",526,,526,,,
6,GOVERNMENT TALEEM-O-TARBIAT P/S FOR,JANI PURA-2,070170105,"1-513*B-1",,513,513,,2,2
,BOYS*ELAHI TOWN*CHINA SECHEME*BHAGATPURA NEAR ,CHINA SCHEME GUJJAR PURA,070170106,"1-735*B-2",,735,735,,,
7,IFTIKHAR MODEL HIGH SCHOOL SHER SHAH ROAD KOT,SYED PARK,070170201,"1-252*B-1",252,,252,3,,3
,,HAJI PURA,070170202,"1-504*B-2",504,,504,,,
8,IFIKHAR MODEL HIGH SCHOOL SHER SHAH ROAD KOT,SYED PARK,070170201,"1-224*B-1",,224,224,,3,3
,,HAJI PURA,070170202,"1-371*B-2",,371,371,,,
9,SHEHLA MODEL GIRLS ISLAMIA SCHOOL*MAQSOOD,ALI PARK,070170203,"1-875*B-1",875,,875,2,,2
,PURA*SHER SHAH ROAD.KOT KHAWAJA SAEED*RIGHT SIDE OF JANIPURA ,HAJI YOUNIS PURA,070170205,"1-722*B-2",722,,722,,,
