SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOVT. GIRLS ELEMENTARY SCHOOL BAKHSHI PARK (MALE),-,-  CIRCLE NO 1 BLOCK NO 01,-,239,,239,3,,3
,,-,-  CIRCLE NO 1 BLOCK NO 02,-,390,,390,,,
,,-,-  CIRCLE NO 1 BLOCK NO 06,-,481,,481,,,
2,DASTKARI SCHOOL GAOSHALLAH (FEMALE),-,-  CIRCLE NO 1 BLOCK NO 01,-,,184,184,,2,2
,,-,-  CIRCLE NO 1 BLOCK NO 02,-,,340,340,,,
,,-,-  CIRCLE NO 1 BLOCK NO 06,-,,355,355,,,
3,GOVT. SECONDARY SCHOOL (NEW BUILDING) (MALE),-,-  CIRCLE NO 1 BLOCK NO 03,-,426,,426,4,,4
,,-,-  CIRCLE NO 1 BLOCK NO 04,-,432,,432,,,
,,-,-  CIRCLE NO 1 BLOCK NO 05,-,671,,671,,,
4,GOVT. VOCATIANAL INTITUTE (WOMEN) AKALWALA ROAD,-,-  CIRCLE NO 1 BLOCK NO 03,-,,384,384,,4,4
,(FEMALE),-,-  CIRCLE NO 1 BLOCK NO 04,-,,416,416,,,
,,-,-  CIRCLE NO 1 BLOCK NO 05,-,,713,713,,,
5,GOVT. PRIMARY SCHOOL NO 2 BHALAIR ROAD ISLAMPURA,-,-  CIRCLE NO 2 BLOCK NO 01,-,580,,580,3,,3
,,-,-  CIRCLE NO 2 BLOCK NO 02,-,505,,505,,,
6,GOVT. MODEL HIGH SCHOOL (HIGH PORTION )(FEMALE),-,-  CIRCLE NO 2 BLOCK NO 01,-,,509,509,,2,2
,,-,-  CIRCLE NO 2 BLOCK NO 02,-,,440,440,,,
7,GOVT. BOYS PRIMARY SCHOOL ,-,-  CIRCLE NO 2 BLOCK NO 03,-,1209,,1209,3,,3
8,GOVT. GIRLS PRIMARY SCHOOL NO 6 RAJA PARK ,-,-  CIRCLE NO 2 BLOCK NO 03,-,,1176,1176,,3,3
9,GOVT. MODED HIGH SCHOOL (ELE.PORTION) (MALE),-,-  CIRCLE NO 2 BLOCK NO 04,-,681,,681,3,,3
,,-,-  CIRCLE NO 2 BLOCK NO 07,-,334,,334,,,
10,GOVT. MODEL HIGH SCHOOL (ELE.PORTION) (FEMALE),-,-  CIRCLE NO 2 BLOCK NO 04,-,,760,760,,3,3
,,-,-  CIRCLE NO 2 BLOCK NO 07,-,,351,351,,,
11,GOVT. GIRL HIGH SCHOOL NO 2 NEAR WATER WARKS NO 1,-,-  CIRCLE NO 2 BLOCK NO 05,-,583,,583,3,,3
,,-,-  CIRCLE NO 2 BLOCK NO 06,-,575,,575,,,
12,GOVT. GIRL HIGH SCHOOL NO 2 NEAR WATER WORKS NO 1,-,-  CIRCLE NO 2 BLOCK NO 05,-,,548,548,,2,2
,,-,-  CIRCLE NO 2 BLOCK NO 06,-,,511,511,,,
13,GOVT. BOSY PRIMARY SCHOOL NO 3 GOBIND PURA (MALE),-,-  CIRCLE NO 3 BLOCK NO 01,-,328,,328,3,,3
,,-,-  CIRCLE NO 3 BLOCK NO 02,-,255,,255,,,
,,-,-  CIRCLE NO 3 BLOCK NO 03,-,573,,573,,,
14,X.E.N.HIGHWAY OFFIEC T.T SINGH (FEMALE),-,-  CIRCLE NO 3 BLOCK NO 01,-,,290,290,,3,3
,,-,-  CIRCLE NO 3 BLOCK NO 02,-,,208,208,,,
,,-,-  CIRCLE NO 3 BLOCK NO 03,-,,508,508,,,
15,CONVENT OF JESUS & MARRY SCHOOL. TOBA TEK SHNGH ,-,-  CIRCLE NO 3 BLOCK NO 04,-,797,,797,2,,2
16,CONVENT OF JESUS & MARRY SCHOOL .TOBA TEK SHNGH ,-,-  CIRCLE NO 3 BLOCK NO 04,-,,646,646,,2,2
17,GOVT. BOYS PRIMARY SCHOOL FAIZ COLONY (MALE),-,-  CIRCLE NO 3 BLOCK NO 05,-,837,,837,4,,4
,,-,-  CIRCLE NO 3 BLOCK NO 06,-,616,,616,,,
18,GOVT. GIRLS PRIMARY SCHOOL D.C.O. COMPLEX,-,-  CIRCLE NO 3 BLOCK NO 05,-,,713,713,,3,3
,,-,-  CIRCLE NO 3 BLOCK NO 06,-,,529,529,,,
19,E.A.D.A OFFICE NEAR RAILWAY STATION (MALE),-,-  CIRCLE NO 4 BLOCK NO 01,-,698,,698,3,,3
,,-,-  CIRCLE NO 4 BLOCK NO 02,-,346,,346,,,
20,GOVT. BOYS ELEMANTARY SCHOOL HOUSING COLONY NO,-,-  CIRCLE NO 4 BLOCK NO 01,-,,584,584,,2,2
,,-,-  CIRCLE NO 4 BLOCK NO 02,-,,354,354,,,
21,GOVT. GHRLS HIGH JAFFERIA SCHOOL (FRONT PORTION),-,-  CIRCLE NO 4 BLOCK NO 03,-,267,,267,3,,3
,,-,-  CIRCLE NO 4 BLOCK NO 04,-,549,,549,,,
