SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOV.T M.C. BOYS HIGH SCHOOL*PARTAB,CITY AREA,57330602  CHARGE NO 33* CIRCLE NO 6* ,-,219,,219,3,,3
,NAGAR*FSD(MALE),,BLOCK NO 2,,,,,,,
,,CITY AREA,57330604  B.4,-,238,,238,,,
,,-,57330702  CIRCLE NO 7 BLCOK NO 2,-,345,,345,,,
,,-,57330703  B.3,-,354,,354,,,
2,GOVT.T M.C GIRLS HIGH SCHOOL* PARTAB,CITY AREA,57330602  CHARGE NO.33 CIRCLE NO.6 ,-,,189,189,,2,2
,NAGAR*FSD(FEMALE),,BLOCK NO.2,,,,,,,
,,-,57330604  B.4,-,,228,228,,,
,,-,57330702  CIRCLE NO.7 BLOCK NO.2,-,,273,273,,,
,,-,57330703  B.3,-,,286,286,,,
3,GOV.T M.C.BOYS HIGH SCHOOL* PARTAB NAGAR*,CITY AREA,57330701  CIRCLE NO.7 BLOCK NO.1,-,241,,241,2,,2
,JHNAG ROAD*FSD(MALE),-,57330704  B.4,-,283,,283,,,
,,-,57330705  B.5,-,122,,122,,,
,,-,57330706  B.6,-,204,,204,,,
,,-,57330805  CIRCLE NO.8 BLOCK NO.5,-,105,,105,,,
4,GOV.T M.C GIRLS HIGH SCHOOL* PARTAB NAGAR*,CITY AREA,57330701  CIRCLE NO.7 BLOCK NO.1,-,,196,196,,2,2
,JHNAG ROAD*FSD(FEMALE),-,57330704  B.4,-,,222,222,,,
,,-,57330705  B.5,-,,96,96,,,
,,-,57330706  B.6,-,,165,165,,,
,,-,57330805  CIRCLE NO.8 BLOCK NO.5,-,,96,96,,,
5,GOV.T M.C.BOYS HIGH SCHOOL* PARTAB,CITY AREA,57330801  CIRCLE NO.8* BLOCK.NO.1,-,259,,259,3,,3
,,-,57330802  B.2,-,372,,372,,,
6,GOVT M.C GIRLS HIGH SCHOOL* PARTAB NAGAR,CITY AREA,57330801  CIRCLE NO.8* BLOCK NO.1,-,,258,258,,2,2
,JHNAG ROAD*FSD(FEMALE),-,57330802  B.2,-,,296,296,,,
,,-,57330803  B.3,-,,188,188,,,
,,-,57330804  B.4,-,,244,244,,,
7,GOVT M.C BOYS HIGHT SCHOOL*PARTAB NAGAR*,CITY AREA,57330901  CIRCLE NO.9* BLOCK NO.1,-,430,,430,3,,3
,JHNAG ROAD*FSD(MALE),-,57330902  B.2,-,379,,379,,,
,,-,57330903  B.3,-,279,,279,,,
,,-,57330804  CIRCLE NO.8* BLOCK NO.4,-,338,,338,,,
8,GOVT M.C GIRLS HIGHT SCHOOL*PARTAB NAGAR*,CITY AREA,57330901  CIRCLE NO.9*BLOCK NO.1,-,,388,388,,3,3
,JHNAG ROAD*FSD(FEMALE),-,57330902  B.2,-,,297,297,,,
,,-,57330903  B.3,-,,241,241,,,
,,-,57330904  B.4,-,,275,275,,,
9,F.R.GIRLS HIGH SCHOOL*111-C*LIAQUAT,CITY AREA,57330401  CIRCLE NO.4*BLOCK NO1,-,592,,592,4,,4
,TOWN*FAISALABAD(MALE),-,57330402  B.2,-,485,,485,,,
,,-,57330403  B.3,-,539,,539,,,
10,SURIA MEMORIAL HIGH SCHOOL*MAIN BAZAR*LIAQUAT,CITY AREA,57330401  CIRCLE NO.4*BLOCK NO.1,-,,617,617,,3,3
,TOWN*FSD(FEMALE),-,57330402  B.2,-,,361,361,,,
,,-,57330403  B.3,-,,468,468,,,
11,SAADAT PUBLIC SCHOOL* STREET NO.5* LIAQUAT ABAD,CITY AREA,57330501  CIRCLE NO.5*BLOCK NO.1,-,659,,659,3,,3
,NO.1*FSD(MALE),-,57330502  B.2,-,276,,276,,,
,,-,57330503  B.3,-,472,,472,,,
12,HAFIZ PUBLIC SCHOOL* STREET NO.1* LIAQUAT ABAD,CITY AREA,57330501  CIRCLE NO.5* BLOCK NO.1,-,,545,545,,3,3
,NO.1 FSD(FEMALE),-,57330502  B.2,-,,281,281,,,
,,-,57330503  B.3,-,,392,392,,,
13,SUPER COMPERIHENSIVE HIGH SCHOOL*KOHNA STREET NO.20,CITY AREA,57330504  CIRCLE NO.5*BLOCK NO.4,-,845,,845,3,,3
,,-,57330505  B.5,-,331,,331,,,
14,Z.A PUBLIC SCHOOL* STREET NO.10/11 MAIN BAZAR LIAQUAT,CITY AREA,57330504  CIRCLE NO.5*BLOCK NO 4,-,,668,668,,3,3
,ABAD NO.2 FSD(FEMALE),-,57330505  B.5,-,,272,272,,,
,,-,57330507  B.7,-,,167,167,,,
15,F.R BOYS HIGH SCHOOL* 110-C* LIAQUAT TOWN* GANDA NALA,CITY AREA,57330601  CIRCLE NO.6* BLOCK NO.1,-,338,,338,2,,2
,ROAD* FAISALABAD(MALE),-,57330603  CIRCLE NO.6*BLOCK NO.3,-,200,,200,,,
,,-,57330506  CIRCLE NO.5*BLOCK NO.6,-,259,,259,,,
,,-,57330507  B.7,-,244,,244,,,
16,Z.A PUBLIC SCHOOL* STREET NO.10/11* MAIN BAZAR LIAQUAT,CITY AREA,57330601  CIRCLE NO.6*BLOCK NO.1,-,,237,237,,2,2
,ABAD NO.2 FSD(FEMALE),-,57330603  B.3,-,,187,187,,,
,,-,57330506  CIRCLE NO.5*BLOCK NO.6,-,,189,189,,,
17,EX-POLICE CHOWKI*MAIN ROAD GULFASHAN COLONY*,CITY AREA,57331001  CIRCLE NO.10*BLOCK NO.1,-,464,,464,2,,2
,NEAR.T & T BUILDING ,-,57331004  B.4,-,419,,419,,,
18,ISLAMIC IDEAL PRIMARY SCHOOL* 155/156-C GULFISHAN,CITY AREA,57331001  CIRCLE NO.10*BLOCK NO.1,-,,405,405,,2,2
,,-,57331004  B.4,-,,462,462,,,
19,GOVT JUNIOR MODEL ELEMANRY SCHOOL (GIRLS),CITY AREA,57331002  CIRCLE NO.10*BLOCK NO.2,-,536,,536,3,,3
,B-BLOCK GULFISHAN COLONY ,-,57331003  B.3,-,777,,777,,,
20,GOVT JUNIOR MODEL ELEMANTRY SCHOOL(GIRLS)B-,CITY AREA,57331002  CIRCLE NO.10*BLOCK NO.2,-,,470,470,,3,3
,BLOCK GULFISHAN COLONY ,-,57331003  B.3,-,,650,650,,,
21,GOVT MASJID MUKTIB SCHOOL* BLOCK-D GULFISHAN COLONY*,CITY AREA,57331005  CIRCLE NO.10*BLOCK NO.5,-,573,,573,,3,3
,,-,57331006  B.6,-,644,,644,,,
22,GOVT GIRLS PRIMARY SCHOOL*BLOCK-D GULFISHAN,CITY AREA,57331005  CIRCLE NO.10*BLOCK NO.5,-,,463,463,,2,2
,,-,57331006  B.6,-,,513,513,,,
23,GOVT FAROOQ HIGH SCHOOL SHEIKH COLONY,CITY AREA,57331401  CIRCLE NO.14*BLOCK NO.1,-,250,,250,2,,2
,,-,57331402  B.2,-,650,,650,,,
24,GOVT GIRLS HIGH SCHOOL* SHEIKH COLONY* BLOCK-C ABC,CITY AREA,57331401  CIRCLE NO.14*BLOCK NO.1,-,,173,173,,2,2
,,-,57331402  B.2,-,,472,472,,,
25,GOVT FAROOQ HIGH SCHOOL* SHEIKH COLONY* BLOCK-C*,CITY AREA,57331403  CIRCLE NO.14*BLOCK NO.3,-,541,,541,5,,5
,,-,57331404  B.4,-,1693,,1693,,,
26,GOVT GIRLS HIGH SCHOOL* SHEIKH COLONY* BLOCK-C ABC,CITY AREA,57331403  CIRCLE NO.14*BLOCK NO.3,-,,504,504,,4,4
,,-,57331404  B.4,-,,1369,1369,,,
27,GOVT GIRLS ELEMENTRY SCHOOL* HABIB PARK* SHADAB ,CITY AREA,57331102  CIRCLE NO.11* BLOCK NO.2,-,850,,850,2,,2
28,M.C BOYS PRIMARY SCHOOL* HABIB PARK* SHADAB ,CITY AREA,57331102  CIRCLE NO.11* BLOCK NO.2,-,,693,693,,2,2
29,GOVT GIRLS PRIMARY SCHOOL* MADANI MASJID,CITY AREA,57331104  CIRCLE NO.11* BLOCK NO.4,-,432,,432,2,,2
,MADANI PARK* SHADAB ,-,57331105  B.5,-,590,,590,,,
30,GOVT PRIMARY SCHOOL STREET NO.7*SHADAB,CITY AREA,57331104  CIRCLE NO.11* BLOCK NO.4,-,,366,366,,2,2
