SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GOVT NIDDLE SCHOOL WARSTA ROAD HANGU (MALE),MC HANGU,177010101,-,929,,929,4,,4
,,MC HANGU,177010207,-,756,,756,,,
2,GOVT GIRLS HIGH SCHOOL VARASTA ROAD HANGU,MC HANGU,177010101,-,,802,802,,3,3
,,MC HANGU,177010207,-,,535,535,,,
3,GOVT PRIMARY SCHOOLNO 4 HANGU MALE,MC HANGU,177010102,-,532,,532,3,,3
,,MC HANGU,177010103,-,581,,581,,,
4,GOVT GIRLS PRIMARY SCHOOLWRASTA ROAD HANGU,MC  HANGU,177010102,-,,420,420,,3,3
,,MC  HANGU,177010103,-,,503,503,,,
5,GOVT PRIMARY SCHOOL GANJANOKILLI MALE,MC  HANGU,177010104,-,704,,704,4,,4
,,MC  HANGU,177010105,-,543,,543,,,
6,GOVT GIRLS PRIMARY SCHOOL GANJANO KILLI FEMALE,MC  HANGU,177010104,-,,640,640,,4,4
,,MC  HANGU,177010105,-,,571,571,,,
7,ANIMAL HASBANDERY HOSPITAL HANGU,MC  HANGU,177010106,-,1096,,1096,4,,4
,,MC  HANGU,177010107,-,431,,431,,,
8,HANGU PUBLIC SCHOOL HANGU FEMALE,MC  HANGU,177010106,-,,1019,1019,,4,4
,,MC  HANGU,177010107,-,,366,366,,,
9,GOVT PRIMARY SCHOOL NO. 1 HANGU MALE,MC  HANGU,177010201,-,849,,849,4,,4
,,MC  HANGU,177010202,-,518,,518,,,
,,MC  HANGU,177010203,-,481,,481,,,
10,GOVT GIRLS PRIMARY SCHOOL SAIDAN FEMALE,MC  HANGU,177010201,-,,697,697,,4,4
,,MC  HANGU,177010202,-,,481,481,,,
,,MC  HANGU,177010203,-,,523,523,,,
11,GOVT HIGH SCHOOL NO.1 ,MC  HANGU,177010205,-,930,,930,2,,2
12,GOVT HIGH SCHOOL NO 1 ,MC  HANGU,177010205,-,,802,802,,2,2
13,GOVT GIRLS PRIMARY SCHOOLSHAHU ROAD MALE,MC  HANGU,177010204,-,757,,757,,0,
,,MC  HANGU,177010206,-,738,,738,,,
14,GOVT GIRLS HIGH SCHOOL SHAHU ROAD FEMALE,MC  HANGU,177010204,-,,662,662,,3,3
,,MC  HANGU,177010206,-,,653,653,,,
15,GOVT GIRLS PRIMARY SCHOOL ,RAISAN,177040101,-,1117,829,1946,2,2,4
16,GOVT MIDDLE SCHOOL JOUZARA  COMBINED,KHAWAJA KHIZER,177040102,-,509,407,916,2,1,3
17,GOVT HIGH SCHOOL LODI KHEL MALE,LODI KHAL,177040201,-,761,,761,4,,4
,,LODI KHEL,177040202,-,676,,676,,,
18,GOVT GIRLS MIDDIE SCHOOL LODI KHEL FEMALE,LODI KHEL,177040201,-,,654,654,,3,3
,,LODI KHEL,177040202,-,,571,571,,,
19,GOVT PRIMARY SCHOOLSHAHU ,BAZAR,177040203,-,329,235,564,1,1,2
20,GOVT PRIMARY SCHOOL ,SHAHU WAM,177040204,-,1015,746,1761,2,2,4
21,GOVT HIGH SCHOOLSHAHU ,SHAHU KHEL,177040205,-,979,547,1526,2,2,4
22,GOVTGIRLS PRIMARY SCHOOL ,BABAR MEAL,177040301,-,432,458,890,2,1,3
23,GOVT PRIMARY SCHOOL NO.1 IBRAHIM ZAI COMBINED,PASS KILLI IBRAHIM ZAI,177040302,-,963,696,1659,1,1,2
24,GOVT GIRLS PIRMARY SCHOOL PASS KILLI IBRAHIM ZAI ,IBREHIM ZAI,177040305,-,372,326,698,1,1,2
25,GOVT PRIMARY SCHOOL NO.3 ,IBRAHIM ZAI,177040303,-,840,653,1493,2,2,4
26,GOVT GIRLS HIGH SCHOOL ,IBREHIM ZAI,177040304,-,427,377,804,1,1,2
27,GOVT PRIMARY SCHOOL ,KACH,177040401,-,720,557,1277,2,2,4
28,GOVT PRIMARY SCHOOL ,KACH,177040402,-,598,497,1095,2,1,3
29,GOVT MIDDIE SCHOOL MEROBAK  COMBINED,MEROBAK,177040403,-,431,330,761,1,1,2
,,KHELIFA ,177040404,-,69,44,113,,,
30,GOVT PRIMARY SCHOOL ZANKI ,ZANKI BENDA,177040405,-,189,163,352,1,1,2
31,GOVT PRIMARY SCHOOL ,KHARSHA,177040406,-,341,274,615,1,1,2
32,GOVT GIRLS MIDDIE SCHOOL ,MARDU KHEL,177040407,-,539,431,970,2,1,3
33,GOVT PRIMARY SCHOOL HAJI ,HAKJI KHEL,177040501,-,413,338,751,1,1,2
34,GOVT PRIMARY SCHOOL ,LAKHTI BANDA,177040502,-,628,515,1143,2,1,3
35,GOVT PRIMARY SCHOOL ,CHAPPER,177040505,-,375,332,707,1,1,2
36,GOVT PRIMARY SCHOOL NO1 WARASTA(IMPROVISED) ,WARASTA,177040503,-,903,699,1602,2,2,4
37,GOVT HIGH SCHOOL SHINAWARI HANGU COMBINED,SHINAWENI WARASTA,177040504,-,870,779,1649,2,2,4
38,GOVT GIRLS HIGH SCHOOL BAGATO (P/STAION ,BAGATO,177040506,-,603,484,1087,2,1,3
39,GOVT GIRLS SCHOOL BAGATO ,BEGATO,177040507,-,576,477,1053,2,1,3
40,GPSGUL BAGH HANGU MALE,DEREZI PALOSA BABU TANG,177040601,-,1042,,1042,3,,3
41,GOVT PRIMARY SCHOOL BABU TANG FEMALE,DERVAZI PALOSA BABU TANG,177040601,-,874,,874,,2,2
42,GOVT MIDDLE SCHOOL WACH BAZAR ,WACH BAZAR HANGU,177040602,-,955,789,1744,2,2,4
43,GOVT PRIMARY SCHOOL NO.2 SPIN KHAWARI COMBINED,SPIN KHAWARI HANGU,177040603,-,738,535,1273,2,1,3
44,GOVT GIRLS PRIMARY SCHOOL SPIN  KHAWARI,HAYAT ABAD / SPIN KHWAN,177040604,-,932,658,1590,2,2,4
45,GOVT PRIMARY SCHOOL NO.1 SPIN KHAWARI (IMP:) ,SARAKDANA,177040605,-,874,559,1433,2,1,3
46,GOVT PRIMARY SCHOOL CHAR ,KOTKI BALA,177040703,-,805,817,1622,2,2,4
47,GOVT PRIMARY SCHOOLMULA ,HARDO KOTKI,177040701,-,919,649,1568,2,2,4
48,GOVT PRIMARY SCHOOL KOTKI ,KOTKI PAYAN,177040702,-,473,397,870,2,1,3
49,GOVT PRIMARY SCHOOL SARKI ,SARKI PIALA,177040704,-,604,623,1227,2,2,4
50,GOVT PRIMARY SCHOOL NO 2 ,CHAMBA GUL,177040705,-,549,588,1137,2,1,3
51,GOVT GIRLSPRIMARY SCHOOL HAMESH GUL ,CHAMBA GUL,177040706,-,689,579,1268,2,1,3
52,GOVT PRIMARY SCHOOL TORA WATTI (IMPROVISE) COMBINED,BARH ABBAS KHEL,177040801,-,790,689,1479,2,2,4
53,GOVT GIRLS PRIMARY SCHOOL BARH ABBAS KHELCOMBINED,BETH ABBAS KHEL,177040802,-,641,635,1276,2,1,3
54,GOVT MIDDIE SCHOOL ,BAIYAMINA,177040803,-,688,632,1320,2,2,4
55,GOVT PRIMARY SCHOOL ,BAIYAMINA,177040804,-,565,467,1032,2,1,3
56,GOVT PRIMARY SCHOOL ,BAIYAMINA,177040805,-,511,448,959,2,1,3
57,GOVT PRIMARY SCHOOL KANDWALO BALYAMINA ,BAIYAMINA,177040806,-,619,656,1275,2,1,3
58,GOVT HIGH SCHOOL TOGH SARAI COMBINED,KHARZOON(TOGH),177040901,-,672,557,1229,2,1,3
59,GOVT PRIMARY SCHOOL TOGH SARAICOMBINED,BEHRAM KHEL KHARZIIN,177040902,-,644,520,1164,2,1,3
60,GOVT GIRLS HIGH SCHOOL TOGH (POLLING STA NO1) ,TOGH,177040903,-,435,340,775,1,1,2
61,GOVT PRIMARY SCHOOL TOGH CHAPRI (IMPOPROVISED) ,CHAPRI (TOGH),177040904,-,322,351,673,1,1,2
62,GOVT HIGFH SCHOOL TOGH(POLLING STA NO2) ,TOGH,177040905,-,888,716,1604,2,2,4
63,GOVT MIDDLE SCHOOL ANAR CHINA COMBINED,ANAR CHINATOGH,177040906,-,523,495,1018,2,1,3
64,GOVT PRIMARY SCHOOL KAT GARH,KAT GARH TOGH,177040907,-,655,576,1231,2,1,3
65,GOVT HIGH SCHOOL MUHAMMAD KHAEJA ,MUHAMMAD KHAWAJA,177041001,-,996,872,1868,2,2,4
66,GOVT PRIMARY SCHOOL NO1 MOHD KHAWALA (IMP) ,MUHAMMAD KHAWAJA,177041002,-,749,782,1531,2,2,4
67,GOVT PRIMARY SCHOOL KANI MOHD KHAWAJA ,MUHAMMAD KHAWAJA,177041005,-,975,913,1888,2,2,4
68,GOVT PRIMARYSCHOOL SHINI BANDA,KHATTAK BANDE,177041003,-,840,683,1523,2,2,4
69,GOVT PRIMARY SCHOOL TARI BANDA COMBINED,MUHAMMAD KHAWAJA,177041004,-,640,513,1153,2,1,3
70,GOVT PRIMARY SCHOOL ,DARBAND,177041101,-,765,762,1527,2,2,4
