SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GPS ARGHUNJA,ARGHUNJA,033010102,-,586,44,630,3,1,4
,,KATIBAN,033010103,-,377,0,377,,,
,,KHAWS KHEL,033010111,-,258,7,265,,,
2,GPS AMA MAMOZAI,SAMA MOZAI,033010104,-,351,5,356,2,1,3
,,KARAPA COBINED,033010110,-,165,40,205,,,
,,KHAIL MIR GHRI,033010121,-,483,17,500,,,
,,SAMA ADU KHEL,033010106,-,106,,106,,,
3,GPS ABDU RAHIMKHEL,ABDURHAIM PINIKWAL,033010107,-,386,9,395,2,1,3
,,SAMA ABDURHAIM KHEL,033010108,-,473,26,499,,,
,,KACH KILLY,033010112,-,369,3,372,,,
4,GPS ADU KHEL,TOOR SMAL,033010109,-,485,,485,2,,2
,,GOLA KHEL,033010118,-,127,,127,,,
,,WAZIR SAM KALLA,033010120,-,173,,173,,,
,,KICH GARHI,033010123,-,163,,163,,,
5,GPS TAZI MAMUZAL,MISHTI KADA,033010122,-,222,8,230,3,,3
,,MA*OZAI KIALLAY,033010113,-,403,,403,,,
,,BABAR KHEL BARKANDI,033010116,-,347,,347,,,
6,GGPS  SHAWA KILLAY,WALI NAMASI,033010125,-,232,,232,2,,2
,,AHAMAD NAMASIO KILLAY,033010127,-,373,,373,,,
,,JANI KHEL KILLAY,033010124,-,237,,237,,,
7,GPS MIR KALAM KHEL,BILLAAN NAWASI,033010115,-,200,68,268,2,1,3
,,ITABAI KILLAY,033010117,-,436,27,463,,,
,,SAWE KILLAY,033010128,-,66,1,67,,,
,,SHAWE KILLAY,033010114,-,222,2,224,,,
8,GGPS BURKHAN NAMSI,BURHAN NAWASI,033010105,-,250,45,295,2,1,3
,,MEAIN NAWASI,033010126,-,227,59,286,,,
,,DERMAND KHAL BARAN KHAK,033010119,-,167,38,205,,,
9,GPS KHADAZI NO 2,KHADAZAI,033010101,-,304,33,337,3,1,4
,,TERI KILLAY,033010201,-,255,72,327,,,
,,TERI,033010314,-,896,0,896,,,
10,GPS KOT ALI KHEL,MANZ KILLAY,033010202,-,405,16,421,3,1,4
,,KOT KILLAY,033010212,-,701,42,743,,,
,,KOT PAYAN,033010318,-,277,18,295,,,
,,GHOTAK,033010335,-,150,7,157,,,
,,KARIM SHAH KILLAY,033010204,-,222,20,242,,,
11,BHU CHAPPER ALI KHEL,CHAPPER SHAMIR KILLY,033010311,-,34,2,36,2,,2
,,CHAPPER SARQU KILLAY,033010312,-,180,3,183,,,
,,NADAR MELA,033010334,-,423,0,423,,,
,,GHALL,033010302  S# 75 TO 139,-,65,0,65,,,
12,GPS KRONCHKI,KRONCHHI,033010321,-,660,11,671,3,1,4
,,KRONCHKI,033010203,-,283,28,311,,,
,,SHAMLI TROPI,033010320,-,174,0,174,,,
,,JANOBI TROPI,033010319,-,33,0,33,,,
,,SPERKI KILLAY,033010328,-,390,0,390,,,
13,GHS SWARO KOT,KOZA KADA,03010304,-,249,0,249,3,1,4
,,ALWARA KADA,033010303,-,76,0,76,,,
,,MANO PATI,033010315,-,167,18,185,,,
,,TATI,033010329,-,166,0,166,,,
,,TATI DAWTRA,033010317,-,501,83,584,,,
,,MISHTI ,033010313,-,234,0,234,,,
,,KALA SA/BAKHA,033010316,-,119,9,128,,,
14,GMS BAGHNAAK,AZMAT NAWASI,033010208,-,246,0,246,2,,2
,,GUL MUHAMMAD NAWASI,033010305,-,564,14,578,,,
15,GPS ZAKA KHEL,GORI CHEK,033010210,-,387,16,403,2,1,3
,,ZAKA KHEL,33010326,-,636,32,668,,,
16,GPS ZAKHTAN,ZAKHTAN,033010327,-,225,9,234,2,1,3
,,SHAKAR NAWASI KILLAY,033010205,-,411,49,460,,,
17,GHS SPIDAR,SRAGARHI,033010325,-,510,26,536,2,1,3
,,SYED MASI,033010206,-,256,0,256,,,
,,GHALL,033010302  S#1-74 & 140-352,-,287,41,328,,,
18,GGMS GANDI THALL,GANDI TAL,033010306,-,373,101,474,3,1,4
,,SAMANDAR SAWSL,033010207,-,165,0,165,,,
,,TAGHA NAKA,033010309,-,59,29,88,,,
,,THREW PKHA,033010308,-,160,0,160,,,
,,DIYANTO NAWASI,033010307,-,133,0,133,,,
,,KHARKAY BILAYANA,033010310,-,272,2,274,,,
19,GPS ALI KHAN CEHARI,KASHMIR NAWASI,033010209,-,239,5,244,2,1,3
,,ACHARA ZATA KORI,033010211,-,355,3,358,,,
,,NIKO KHEL,033010333,-,456,9,465,,,
,,BARI KHEL,033010330,-,160,1,161,,,
20,BHU GALL,OBLAN,033010331,-,616,19,635,2,1,3
,,MULAHAY,033010332,-,411,0,411,,,
21,GGHS GALL,GARHI SAB KHAL,033010301,-,307,5,312,1,,1
22,GPS BADAN,BADAN,033010322,-,1067,320,1387,2,1,3
23,GPS NARI GHARI,NARI KHARI,33010214,-,241,52,293,3,1,4
,,BADAN MAR KHAL,033010213,-,543,116,659,,,
,,ONEY,033010336,-,574,249,823,,,
,,ZARA GHRI,033010345,-,384,58,442,,,
24,VITERNARY DISP KHARKI,GHOZAN TANG,033010337,-,452,175,627,3,1,4
,,KHARKY,033010338,-,301,227,528,,,
,,JALO,033010339,-,398,179,577,,,
,,JALO KILLAY,03301215,-,298,71,369,,,
25,GHS MANZ GHARI,MANZ GHARI,033010217,-,660,145,805,3,1,4
,,STAR KILLAY PAKHTNAY,033010216,-,1021,262,1283,,,
26,GGPS STAR KILLAY,STAAR KILLAY,033010323,-,1054,397,1451,3,1,4
27,GGPS FARID KHAN MALE,BAKAR GARHI,033010324,-,1266,137,1403,3,1,4
28,GPS OT MALE,OOT MELA MALA KHEL,033010342,-,487,350,837,3,1,4
,,CHAPRI KILLAY,033010343,-,526,155,681,,,
,,GHONDAKI,033010344,-,315,74,389,,,
29,GGPS KOOL MALA KHEL,KOOL MELA KHEL,033010218,-,768,596,1364,2,2,4
30,GPS DRE SOLE,STAR/DRESOTE,033010340,-,676,327,1003,3,1,4
,,PAKHTANI,033010341,-,356,174,530,,,
31,GPS SARKI KHEL MALE,FARID GHARI,033030102,-,836,,836,2,,2
32,GGPS MALANG GARHI COMBINED,MUHSIN KHEL,033030101,-,374,146,520,1,1,2
,,FARID GHARI,033030102,-,0,434,434,,,
33,GMS TOOR KANM,DALAK NAWASL,03303014,-,584,320,904,2,1,3
,,SADA KHEL,033030103,-,72,0,72,,,
34,GPS YAKHI KANDOW MALE,YAKHO KANDOW,033030202,-,1237,,1237,3,,3
35,GPS KOHI KILLAY FEMALE,YAKHO KANDOW,033030202,-,,527,527,,2,2
36,GMS DARA DAR MAMAZAI COMBINED,KUNJ KILLAY,033030201,-,136,12,148,2,1,3
,,ZANKADA,033030205,-,379,325,704,,,
,,OGDA AKPHA,033030206,-,200,112,312,,,
37,GPS DARA DAR MAMAZAI COMBINED,LAHOR SHAH KILLAY,033030207,-,220,52,272,2,1,3
,,ARKHIW KILLAY,033030208,-,284,87,371,,,
,,DIN SHAH KILLAY,033030305,-,67,61,128,,,
,,LANDA KARBOGGHA,033030306,-,136,70,206,,,
38,GPS MIAN CHAPPAR COMBINED,NAWE KILLAY,033030203,-,208,162,370,1,1,2
,,GHULAM GHRI,033030204,-,153,157,310,,,
39,GGPS KARAPA SAMANA COMBINED,MULA TABI,033030209,-,445,256,701,3,1,4
,,KAMAR MELA,033030210,-,594,338,932,,,
40,GHS SAFIL DERA COMNINDED,SAFI DARA,033030303,-,639,326,965,1,1,2
41,GMS GHOZGHAR COMBINED,ALI ASGHAR MELA/ KH KADA,033030211,-,310,166,476,3,1,4
,,ZARA MELA /JEB KILLAY,033030301,-,211,131,342,,,
,,ZANDA KILLAY,033030308,-,385,213,598,,,
