SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,OFFICE OF EDO WORKS AND SERVICES ABBOTTABAD,CIRLCE NO 1,007010101,-,543,,543,3,,3
,(MALE),CIRCLE NO 1,007010102,-,541,,541,,,
,,CIRLCE NO 1,007010103,-,388,,388,,,
2,GPS CHOWKI (FEMALE),CIRCLE NO 1,007010101,-,,504,504,,3,3
,,CIRCLE NO 1,007010102,-,,456,456,,,
,,CIRCLE NO 1,007010103,-,,330,330,,,
3,GGMS UPPER MALIK PURA (FEMALE),CIRCLE NO 1,007010104,-,,669,669,,3,3
,,CIRCLE NO 1,007010105,-,,585,585,,,
4,GGPS NO 1 MOH NAZAMI (MALE),CIRCLE NO 1,007010104,-,727,,727,3,,3
,,CIRCLE NO 1,007010205,-,532,,532,,,
5,GGHS MOHALLAH NAZAMI (M),CIRLCE NO 2,007010201,-,705,,705,3,,3
,,CIRLCE NO 2,007010202,-,565,,565,,,
6,GGHS MUHALLAH NAZAMI(FEMALE),CIRLCE NO 2,007010201,-,,601,601,,2,2
,,CIRLCE NO 2,007010202,-,,516,516,,,
7,OLD DHO OFFICE GHATTA PUL,CIRLCE NO 2,007010203,-,931,930,1861,2,2,4
8,GHS* NO.1.ATD(M),CIRLCE NO 2,007010204,-,710,,710,3,,3
,,CIRLCE NO 2,007010205,-,560,,560,,,
9,GHS NO 1 ATD (F),CIRLCE NO 2,007010204,-,,566,566,,2,2
,,CIRLCE NO 2,007010205,-,,543,543,,,
10,GPS BANDA SAPPAN,CIRLCE NO 2,007010206,-,519,495,1014,1,1,2
11,GGHS NO 2 ATD (M),CIRLCE NO 3,007010301,-,920,,920,2,,2
,,CIRLCE NO 3,007010303,-,247,,247,,,
12,GGHS NO 2 ATD (F),CIRLCE NO 3,007010301,-,,683,683,,2,2
,,CIRLCE NO 3,007010303,-,,203,203,,,
13,GHS NO 2 ATD (M),CIRLCE NO 3,007010302,-,1051,,1051,2,,2
14,GHS NO 2 ATD (F),CIRLCE NO 3,007010302,-,,923,923,,2,2
15,COLLEGE NO 1 ATD,CIRLCE NO 3,007010304,-,774,689,1463,2,1,3
16,GHS* NO.4*ATD MALE,CIRCLE NO 4,007010401,-,559,,559,2,,2
,,CIRCLE NO 4,007010402,-,499,,499,,,
17,GHS NO 4* ATD (FEMALE),CIRCLE NO 4,007010401,-,,537,537,,2,2
,,CIRCLE NO 4,007010402,-,,382,382,,,
18,GGCHS ATD (M),CIRCLE NO 4,007010403,-,458,,458,3,,3
,,CIRCLE NO 4,007010407,-,831,,831,,,
19,GGCHS* ATD (F),CIRCLE NO 4,007010403,-,,485,485,,2,2
,,CIRCLE NO 4,007010407,-,,668,668,,,
20,GOVT GIRLS COLLEGE ATD. MALE,CIRCLE NO 4,007010404,-,633,,633,4,,4
,,CIRCLE NO 4,007010405,-,473,,473,,,
,,CIRCLE NO 4,007010406,-,766,,766,,,
21,GGHS* KUNJ. ATD FEMALE,CIRCLE NO 4,007010404,-,,653,653,,3,3
,,CIRCLE NO 4,007010405,-,,388,388,,,
,,CIRCLE NO 4,007010406,-,,568,568,,,
