SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,BHU BUNKUD,PLALO,00-5170304,-,326,124,450,2,1,3
,,KUZ MOREEN,00-5170202,-,29,12,41,,,
,,BUNKUD VILLAGE,00-5170208,-,208,96,304,,,
,,CHORLOKI,00-5170108,-,13,7,20,,,
,,GLOGI,00-5170305,-,217,94,311,,,
,,KAR NO 1,00-5170303,-,72,12,84,,,
,,KAR NO KHAWAR NO 2,00-5170307,-,77,21,98,,,
,,BUNKUD VILLAGE,00-5170207,-,72,23,95,,,
,,AGHAZSAR,00-5170302,-,176,24,200,,,
,,MANZAKHAPA,00-5170402,-,105,155,260,,,
,,MANZAKHAPA,00-5170401,-,106,74,180,,,
,,GARI,00-5170306,-,69,45,114,,,
2,GMS SHALGARN,CHAKAI,00-5170107,-,84,56,140,2,1,3
,,SERI,00-5170110,-,171,55,226,,,
,,SHOLGARA,00-5170201,-,423,208,631,,,
,,BAR KANDOW,00-5170103,-,51,30,81,,,
,,KUZ KANDOW,00-5170104,-,217,96,313,,,
,,BELA ZAMAN KHEL,00-5170109,-,118,79,197,,,
,,KUZ MANZARA,00-5170101,-,95,57,152,,,
,,BAR MANZARA,00-5170102,-,122,40,162,,,
,,BAR SANGRI,00-5170105,-,135,62,197,,,
,,KUZ SANGRI,00-5170106,-,87,31,118,,,
3,GPS BELA RUSTAM KHEL,BELA RUSTAM KHEL,00-5170407,-,652,120,772,2,1,3
,,CHARTO,00-5170205,-,241,21,262,,,
,,DANO,00-5170406,-,408,62,470,,,
,,DOSSA,00-5170206,-,148,154,302,,,
,,UCH KHAWAR,00-5170405,-,51,21,72,,,
,,CHAROONA NO ,00-5170403,-,238,59,297,,,
,,CHAROONA NO 2,00-5170404,-,207,69,276,,,
,,CHORLAK,00-5170209,-,82,38,120,,,
,,KHHANAI BANKAD,00-5170203,-,66,,66,,,
,,BAR MOREEN,00-5170204,-,85,28,113,,,
4,GMS DUBAIR BALA,BELA DUBAIR,00-5180407,-,713,44,757,1,1,2
,,DALO,00-5200205,-,194,162,356,,,
,,DAHAR,00-5180307,-,94,,94,,,
,,RONDAIR,00-5190104,-,107,35,142,,,
,,SALIKHEL NOW,00-5190203,-,55,19,74,,,
,,BELA DUBAIR,00-5180408,-,378,,378,,,
5,GPS SHONGIAL,DAMAN,00-5200308,-,73,48,121,1,1,2
,,TANGAY,00-5200204,-,102,54,156,,,
,,NOW SONGIAL,00-5180204,-,91,,91,,,
,,SHUNGYAL,00-5200301,-,142,19,161,,,
,,SHUNGYAL,00-5200206,-,130,10,140,,,
,,SACH,00-5180205,-,158,105,263,,,
,,QALLAH,00-5180203,-,114,56,170,,,
,,KHAWAR,00-5180106,-,100,,100,,,
6,GPS* JABBA,FAQEER PATAY,00-5180305,-,348,174,522,1,1,2
,,SERI,00-5180202,-,324,127,451,,,
,,GHONDOO,00-5190205,-,184,57,241,,,
,,GHONDOO NO 2,00-5190206,-,173,58,231,,,
,,SANGAN,00-5180306,-,99,69,168,,,
,,DAIROO,00-5180401,-,465,56,521,,,
7,GGPS KUSS DUBAIR,JAMRA,00-5180101,-,78,,78,2,1,3
,,BANJAR,00-5180406,-,142,65,207,,,
,,KARKOO,00-5180201,-,231,26,257,,,
,,SHANAGI,00-5180103,-,298,161,459,,,
,,GATT,00-5180102,-,168,,168,,,
,,KASS NO 1,00-5200302,-,542,307,849,,,
,,KASSS,00-5200202,-,414,246,660,,,
8,GPS PERUNO KILAY,SHEKH DARA NO 1,00-5220105,-,231,127,358,1,1,2
,,SHEKH DARA NO 2,00-5220301,-,386,166,552,,,
,,GOTAR KHEL ,00-5220301,-,354,172,526,,,
9,GGPS MULA KHEL DAHAR,SAIDAN BELA,00-5200105,-,155,122,277,1,1,2
,,SOI KHEL DEHAR,00-5200104,-,308,167,475,,,
,,MULA KHEL DAHAR,00-5220201,-,349,97,446,,,
,,SERI GOTAR KHEL,00-5220203,-,265,,265,,,
10,GPS MUJ GALI,LANDAHAR,00-5220302,-,194,85,279,1,1,2
,,CHAWA,00-5220305,-,296,14,310,,,
,,NARI NO 1,00-5220107,-,183,32,215,,,
,,NARI NO 2,00-5220108,-,375,76,451,,,
,,QILA NO 1,00-5220204,-,123,10,133,,,
,,QILA NO 2,00-5220205,-,105,19,124,,,
,,ACHOL,00-5220102,-,92,,92,,,
11,GMS MUJ GALI,UCHAR,00-5220101,-,141,7,148,1,1,2
,,BALGAI,00-5220202,-,63,3,66,,,
,,GAYA NO 1,00-5220103,-,199,,199,,,
,,GAYA NO 2,00-5220104,-,138,115,253,,,
,,MUJ GALI,00-5220304,-,215,105,320,,,
,,MUJ GALI NO 2,00-5220303,-,362,61,423,,,
12,GMS JAGG,KUZ PAIZA,00-5180105,-,175,74,249,2,1,3
,,JAGG KILLAY,00-5180302,-,389,212,601,,,
,,SAPROONA,00-5280303,-,233,82,315,,,
,,JAGG KHAS,00-5180304,-,218,63,281,,,
,,BAR PAIZA,00-5180403,-,111,18,129,,,
,,DAIRA,00-5180308,-,103,33,136,,,
,,AMBWA,00-5180301,-,415,59,474,,,
13,GHS DUBAIR VILLAGE,DUBAIR VILLAGE,00-5200406,-,503,343,846,1,1,2
,,BOGAR VILLAGE NO 1,00-5200404,-,92,,92,,,
,,SHAHBAZ KHEL SAIRAY NO 2,00-5200106,-,81,35,116,,,
,,BOGAR VILLAGE NO 2,00-5200304,-,121,62,183,,,
14,BHU DUBAIR VILLAGE,SHALKI NO 1,00-5200306,-,370,75,445,1,1,2
,,SHALKI NO 2,00-5200307,-,378,30,408,,,
,,DOOP,00-5200401,-,61,,61,,,
,,SERGAH,00-5200402,-,23,,23,,,
,,MORI,00-5200303,-,149,38,187,,,
,,ROI DAAT,00-5200305,-,206,15,221,,,
,,SACH,00-5200405,-,333,87,420,,,
15,GHS BANEEL JUGG GEEL,MANO PATI,00-5180404,-,70,35,105,1,1,2
