SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,GHS SHAKKI NO.1,DEND,035060101,-,189,89,278,1,1,2
,,SHERGHA,0350601020,-,166,2,168,,,
,,POTI KHEL,035060103,-,406,163,569,,,
,,AHMED KHEL,035060201,-,202,168,370,,,
,,LANDI NOOR (ZERO NOOR),035060107,-,346,,346,,,
2,GHS SHAKKI NO 2,POOR KHEL SHAKKI,035060202,-,562,111,673,2,1,3
,,MAZAK SHAKKI,035060203,-,462,139,601,,,
3,GHS SHAKKI NO 3,SHAMAL KHEL,035060204,-,783,46,829,2,1,3
,,RADIN KHCL,035060205,-,396,31,427,,,
,,SHODAKA SHAKK,035060206,-,417,182,599,,,
,,KARARONGE,035060301,-,427,125,552,,,
4,BHU SHAKKI.,NOWAI KOT SHAKKI,035060302,-,936,663,1599,2,2,4
5,GPS LANDI NOOR SHAKKI,MUGHAL KHEL HITTI KHEL,03560304,-,330,77,407,2,1,3
,,SANGA,035060303,-,289,64,353,,,
,,SOOI KOT,035060305,-,351,,351,,,
6,GHS SPIN,SPIN 3/1,035060507,-,236,,236,2,,2
,,SPIN 3/2,035060508,-,217,,217,,,
,,SPIN 3/3,035060509,-,270,,270,,,
,,SHAGAI,035060408,-,224,,224,,,
,,ANGHAT.,035060506,-,72,,72,,,
7,GGHS NAZAR JAN KOT SHIN,SPIN 3/1,035060507,-,,121,121,,2,2
,,SPIN 3/2,035060508,-,,129,129,,,
,,SPIN 3/3,035060509,-,,175,175,,,
,,SHAGAI,035060408,-,,199,199,,,
,,ANGHAR.,035060506,-,,33,33,,,
8,GPS BABAR GHUNDAI.,BABAR GHUNDAI 3/1,035060405,-,198,102,300,2,1,3
,,BABR GHUNDAI 3/1,035060406,-,307,199,506,,,
,,BABAR GHUNDAI 3/1,035060407,-,310,251,561,,,
9,GPS ZARAI,ZERAI KOT,035060404,-,229,199,428,2,1,3
,,ZERAI,035060403,-,195,95,290,,,
,,GURDAI DOAG.,035060402,-,127,70,197,,,
10,GMS TANAI NO 1,TANAI 4/1,035060502,-,335,248,583,1,1,2
,,TANAI 4/2,035060503,-,176,125,301,,,
,,DARGAI,035060401,-,42,0,42,,,
11,GMS TANAI NO 2,TANAI 4/4,035060504,-,395,253,648,2,1,3
,,TANAI 4/4,035060505,-,269,184,453,,,
12,GPS MACHIN BABA.,KARAB KOT,035060601,-,91,64,155,2,1,3
,,AGHBERGAI,035060306,-,18,8,26,,,
,,MURMANDAI,035060606,-,13,4,17,,,
,,MACHIN BABA,035060603,-,131,78,209,,,
,,STARWAM,035060604,-,90,25,115,,,
,,HINDI KACH,035060605,-,159,158,317,,,
,,GERMANI KALAI,035060501,-,52,35,87,,,
,,TIARZA KHULLAH,035060602,-,191,165,356,,,
13,GMS  TATTAI DOTTANI,SHAHWAZAI TATTI,035060607,-,32,,32,2,1,3
,,TATOKAI,035060510,-,52,39,91,,,
,,TATTI GHANI KHEL,035061203,-,58,39,97,,,
,,TATTI HAZRAB,035061202,-,45,29,74,,,
,,CHINIKHOO,035061204,-,135,70,205,,,
,,TATTI ALI KHEL,035061205,-,293,219,512,,,
,,DARGA.,035061207,-,62,38,100,,,
14,GOVT: COLLEGE WANA NO .1,KAKA KHEL ADDA WANA,035060701,-,543,483,1026,2,1,3
15,GOVT: COLLEGE WANA NO. 2,GAZHA PEZA,035060702,-,481,286,767,2,1,3
,,ALYOOM.,035061105,-,238,164,402,,,
16,MUSSA NIKKA PUBLIC SCHOOL.,WOUCHA KHURRA.,035060106,-,425,197,622,2,1,3
,,ASHRAF KALIA.,035060705,-,254,268,522,,,
17,GGPS MOUGHAL KHEL.,MOUGHAL KHEL KALAL.,035060704,-,1071,743,1814,2,1,3
18,GPS GHAIJ,ZAWAR KALAI,035060703,-,479,311,790,2,1,3
,,SEE KACH,035061101,-,187,98,285,,,
,,GHALJA,035061102,-,174,104,278,,,
