SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
1,TOWN COMMITTEE MIANI GOVT BOYS MIANI (FEMALE),TOWN COMMITTEE MIANI,50270101,-,,473,473,,4,4
,,TOWN COMMITTEE MIANI,50270102,-,,486,486,,,
,,TOWN COMMITTE MIANI,50270103,-,,387,387,,,
,,TOWN COMMITTEE MIANI,20270104,-,,334,334,,,
2,GOVT BOYS E/S MIANI (MALE),TOWN COMMITTEE MIANI,50270101,-,497,,497,4,0,4
,,TOWN COMMITTEE MIANI,50270102,-,551,,551,,,
,,TOWN COMMITTEE MIANI,50270103,-,391,,391,,,
,,TOWN COMMITTEE MIANI,50270104,-,374,,374,,,
3,GOVT GIRLS H/S MIANI (FEMALE),TOWM COMMITTEE MIANI,50270105,-,,511,511,0,3,3
,,TOWN COMMITTEE MIANI,50270201,-,,546,546,,,
,,TOWN COMMITTEE MIANI,50270202,-,,308,308,,,
4,GOVT GIRLS H/S MIANI (MALE),TOWN COMMITTEE ,50270105,-,622,,622,4,0,4
,,TOWN COMMITTEE MIANI,50270201,-,673,,673,,,
,,TOWN COMMITTEE MIANI,50270202,-,401,,401,,,
5,GOVT BOYS INTER COLLEGE BHERA ROAD MIANI (FEMALE),-,50270203,-,,412,412,,3,3
,,-,50270204,-,,356,356,,,
,,-,50270205,-,,518,518,,,
6,GOVT BOYS INTER COLLEGE BHERA ROAD MIANI (MALE),-,50270203,-,542,,542,4,0,4
,,-,50270204,-,486,,486,,,
,,-,50270205,-,798,,798,,,
7,GOVT BOYS P/S MIDL PARGANA,MIDH PARGAN,50391101,-,558,415,973,1,1,2
8,GOVT GIRLS P/S MIDH ,MIDH PARGANA,50391102,-,938,653,1591,2,,2
9,GOVT BOYS P/S CHAL PUR,MIDH PARGANA,50391101,-,551,499,1050,1,1,2
10,GOVT GIRLS P/S ISLAM PURA,MIDH PARGANA,50391104,-,457,377,834,1,1,2
11,GOVT GIRLS P/S ISLAM PURA,CHAL PUR,50391105,-,1421,,1421,3,0,3
12,GOVT BOYS P/S CHAL PUR ,CHAL PUR,50391105,-,0,1177,1177,0,3,3
