PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 260 - Government Boys Primary School Chak No. 36/MB,31.89358,72.19548,Combined,Punjab,1,1,262,237
 239 - Government Girls High School- Jaura Kalan,31.89587,72.22621,Combined,Punjab,1,1,509,454
 261 - Government Girls Community Elementary School- Dhamak,31.90567,71.9882,Combined,Punjab,2,2,850,756
 292 - Government Boys High School- Mehmood Shaheed (Middle Portion),31.90744,71.7086,Combined,Punjab,2,2,843,640
 293 - Government Boys High School- Mehmood Shaheed (Primary Portion),31.90744,71.70863,Combined,Punjab,1,1,756,594
 257 - Government Modal Primary School- Aino (East),31.93269,72.13634,Female,Punjab,0,3,0,1422
 258 - Government Modal Primary School- Aino (West),31.93269,72.13637,Female,Punjab,0,2,0,695
 255 - Government Girls High School- Aino (High Portion),31.93645,72.1452,Male,Punjab,2,0,939,0
 256 - Government Girls High School- Aino (Middle Portion),31.93645,72.14523,Male,Punjab,2,0,653,0
 259 - Government Girls High School- Aino (Primary Portion),31.93645,72.14526,Male,Punjab,2,0,784,0
 246 - Government Boys Primary School- Laghari,31.93684,72.30984,Combined,Punjab,1,1,642,575
 245 - Government Girls Primary School- Laghari,31.94056,72.2072,Combined,Punjab,1,1,671,568
 289 - Government Boys Primary School- Chak No. 50/DB,31.95344,71.7956,Combined,Punjab,1,1,534,416
 288 - Basic Health Unit Rahdari,31.95444,71.79528,Combined,Punjab,2,2,800,708
 287 - Government Girls Elementary School- Rahdari (East),31.95472,71.79528,Combined,Punjab,2,2,753,704
 244 - Government Boys Middle School- Taitri,31.96122,72.21851,Combined,Punjab,2,2,859,705
 285 - Government Boys High School- Rahdari ( High Protion),31.96139,71.79111,Female,Punjab,0,2,0,870
 286 - Government Boys High School- Rahdari ( Middle Protion),31.96139,71.79114,Male,Punjab,2,0,974,0
 291 - Government Boys Elementry School- Chak No. 52/DB,31.96777,71.72883,Combined,Punjab,1,1,710,556
 243 - Government Boys Primary School- Sher Garh,31.97253,72.218,Combined,Punjab,1,1,648,609
 269 - Government Girls Primary School- Abdul Rehman,31.98413,71.99171,Combined,Punjab,1,1,582,489
 204 - Government Boys High School- Biland (Middle Portion),31.98504,71.91188,Combined,Punjab,2,2,960,801
 205 - Government Boys High School- Biland (High Portion),31.98504,71.91191,Combined,Punjab,1,1,768,614
 202 - Government Boys Primary School- Mohallah Haji Muhammad Sher- Biland,31.98526,71.93062,Combined,Punjab,1,1,551,499
 270 - Union Council Office- Pellowaince,31.98906,71.99183,Combined,Punjab,1,1,424,345
 267 - Government Girls High School- Pellowaince (High Portion),31.98924,71.99666,Combined,Punjab,1,1,800,684
 268 - Government Boys Primary School Dear Ghulam Hussain,31.98933,71.99688,Combined,Punjab,1,1,537,465
 263 - Government Boys High School- Pelowaince (High Portion),31.98951,71.99217,Combined,Punjab,1,1,397,304
 265 - Government Boys High School- Pellowaince (Middle Portion),31.98951,71.9922,Combined,Punjab,1,1,632,505
 266 - Government Boys High School- Pellowaince (Primary Portion),31.98951,71.99223,Combined,Punjab,1,1,669,526
 231 - Government Boys Elementary School- Sidha,31.99086,71.72578,Combined,Punjab,2,2,754,722
 264 - Government Boys Primary School- Muhammad Yar Wala,32.00277,71.95967,Combined,Punjab,1,1,440,370
 290 - Government Boys Primary School- Chak No. 49/DB,32.01391,71.72505,Combined,Punjab,1,1,709,480
 118 - Government Boys Elementary School- Mamkan Wala,32.02143,72.12838,Combined,Punjab,1,1,803,649
 105 - Government Boys Elementary School- Watto (East),32.0241,72.23329,Combined,Punjab,1,1,474,378
 279 - Government Girls High School- Rang Pur (High Protion),32.02459,71.81562,Combined,Punjab,2,2,978,876
 280 - Government Girls High School- Rangpur (Middle Portion),32.02459,71.81565,Combined,Punjab,2,2,915,866
 276 - Government Boys Elementry School- Zafar Abad Rangpur Baghoor,32.02637,71.8167,Combined,Punjab,1,1,587,547
 278 - Government Boys Primary School- No.1 Rang Pur,32.02728,71.80856,Combined,Punjab,1,1,633,520
 104 - Government Girls Primary School- Langar Wala,32.02778,72.2515,Combined,Punjab,1,1,530,502
 274 - Government Boys High School- Rang Pur (Middle Protion),32.03288,71.81013,Combined,Punjab,1,1,335,281
 277 - Government Boys High School- Rangpur (High Portion),32.03288,71.81016,Combined,Punjab,1,1,589,492
 275 - Government Girls Primary School Charagh Khail,32.04136,71.81618,Combined,Punjab,2,2,687,677
 283 - Government Boys Primary School- Chak No.43/D.B,32.0416,71.76605,Combined,Punjab,1,1,704,528
 127 - Government Boys Primary School- Dera Khakhanwala,32.04718,72.15186,Combined,Punjab,2,2,813,729
 110 - Government Girls Elementary School- Luku,32.04932,72.08443,Combined,Punjab,1,1,506,478
 106 - Government Boys Elementary School- Lukku (Part Middle),32.05073,72.08479,Combined,Punjab,1,1,685,642
 107 - Government Boys Elementary School- Lukku (Part Primary),32.05073,72.08482,Combined,Punjab,1,1,435,389
 94 - Government Girls Primary School- Dhup Sari,32.05358,72.26537,Combined,Punjab,1,1,803,656
 282 - Government Girls Primary School- Warri Pana Khel,32.05589,71.81741,Combined,Punjab,1,1,407,310
 126 - Government Boys Primary School- Soharaywala- Roda,32.0601,72.18266,Combined,Punjab,1,1,414,326
 109 - Government Boys Primary School-Dohri Lukku,32.06529,72.0707,Combined,Punjab,1,1,622,573
 108 - Government Girls Primary School Luku,32.06608,72.09118,Combined,Punjab,1,1,495,496
 124 - Government Boys High School- Roda (Part High),32.06665,72.09711,Combined,Punjab,1,1,860,634
 125 - Government Boys High School- Roda (Part Middle),32.06665,72.09714,Combined,Punjab,1,1,659,497
 103 - Government Girls Primary School-   Shah Ajmal,32.0667,72.2683,Combined,Punjab,1,1,614,521
 323 - Government Boys Elementary School-  Chak No 32/MB.,32.06749,71.98663,Combined,Punjab,1,1,319,283
 128 - Government Boys Primary School- Yaro Khel- Roda,32.0698,72.15411,Combined,Punjab,1,1,312,229
 132 - Office Of the Union Council Roda,32.07439,72.09496,Combined,Punjab,1,1,456,383
 131 - Government Girls High School- Roda,32.07616,72.10348,Combined,Punjab,2,2,845,707
 99 - Government Boys Primary School Wasu,32.07907,72.27129,Female,Punjab,0,2,0,839
